variety;year;price
Assyrtico                 ;2013;27.4
Assyrtico                 ;2014;21.7142857143
Assyrtico                 ;2015;22.75
Assyrtiko                 ;2011;20.0
Assyrtiko                 ;2013;22.3333333333
Assyrtiko                 ;2014;31.4
Assyrtiko                 ;2015;18.1428571429
Assyrtiko                 ;2016;20.5
Athiri                    ;2008;18.0
Austrian Red Blend        ;2006;49.0
Austrian Red Blend        ;2007;34.1428571429
Austrian Red Blend        ;2008;45.0
Austrian Red Blend        ;2009;41.5
Austrian Red Blend        ;2010;17.3333333333
Austrian Red Blend        ;2011;39.3125
Austrian Red Blend        ;2012;23.0
Austrian Red Blend        ;2013;40.0
Austrian Red Blend        ;2014;28.0
Austrian Red Blend        ;2015;15.0
Austrian white blend      ;-1;33.5
Austrian white blend      ;1983;110.0
Austrian white blend      ;2006;
Austrian white blend      ;2008;40.0
Austrian white blend      ;2009;37.75
Austrian white blend      ;2010;
Austrian white blend      ;2011;23.875
Austrian white blend      ;2012;27.375
Austrian white blend      ;2013;39.8461538462
Austrian white blend      ;2014;32.5555555556
Austrian white blend      ;2015;23.8333333333
Austrian white blend      ;2016;21.6666666667
Auxerrois                 ;-1;17.5
Auxerrois                 ;2009;22.0
Auxerrois                 ;2010;22.0
Auxerrois                 ;2011;21.0
Auxerrois                 ;2012;22.0
Auxerrois                 ;2013;19.6666666667
Auxerrois                 ;2014;23.0
Auxerrois                 ;2015;26.75
Auxerrois                 ;2016;22.0
Avesso                    ;2011;16.0
Avesso                    ;2012;15.0
Avesso                    ;2013;21.0
Avesso                    ;2015;12.0
Avesso                    ;2016;13.0
Azal                      ;2010;13.0
Azal                      ;2013;13.0
Azal                      ;2015;15.0
Babić                    ;2009;41.3333333333
Babić                    ;2011;16.0
Babosa Negro              ;2015;45.0
Bacchus                   ;2015;
Baco Noir                 ;2000;35.0
Baco Noir                 ;2006;36.0
Baco Noir                 ;2008;26.0
Baco Noir                 ;2009;24.0
Baco Noir                 ;2010;22.0
Baco Noir                 ;2012;28.0
Baco Noir                 ;2013;24.0
Baco Noir                 ;2014;25.0
Baga                      ;-1;12.0
Baga                      ;2004;14.0
Baga                      ;2005;35.0
Baga                      ;2007;70.0
Baga                      ;2009;67.0
Baga                      ;2010;26.75
Baga                      ;2011;32.75
Baga                      ;2012;31.3333333333
Baga                      ;2013;41.0
Baga                      ;2015;20.0
Baga-Touriga Nacional     ;2010;40.0
Barbera                   ;-1;21.5
Barbera                   ;1870;
Barbera                   ;1998;10.0
Barbera                   ;2001;19.0
Barbera                   ;2003;28.6
Barbera                   ;2004;29.8181818182
Barbera                   ;2005;24.2962962963
Barbera                   ;2006;26.7179487179
Barbera                   ;2007;25.0634920635
Barbera                   ;2008;22.7755102041
Barbera                   ;2009;24.8214285714
Barbera                   ;2010;28.15
Barbera                   ;2011;27.568627451
Barbera                   ;2012;28.1851851852
Barbera                   ;2013;27.887755102
Barbera                   ;2014;26.8064516129
Barbera                   ;2015;22.6304347826
Barbera                   ;2016;17.0
Barbera-Nebbiolo          ;2010;30.0
Bastardo                  ;-1;9.0
Bastardo                  ;2014;32.0
Biancale                  ;2007;18.0
Biancolella               ;2007;26.0
Biancu Gentile            ;2016;
Bical                     ;2006;15.0
Bical                     ;2007;9.0
Bical                     ;2008;9.0
Bical                     ;2010;15.0
Bical                     ;2011;28.0
Bical                     ;2012;18.5
Bical                     ;2014;12.0
Bical                     ;2015;19.0
Bical                     ;2016;8.0
Black Monukka             ;-1;25.0
Black Muscat              ;-1;45.0
Black Muscat              ;1998;25.0
Black Muscat              ;2001;13.0
Black Muscat              ;2008;24.0
Black Muscat              ;2009;10.0
Black Muscat              ;2010;21.0
Black Muscat              ;2012;27.5
Black Muscat              ;2014;22.0
Blanc du Bois             ;2011;40.0
Blanc du Bois             ;2012;23.0
Blanc du Bois             ;2013;26.0
Blanc du Bois             ;2014;21.0
Blatina                   ;2011;12.0
Blauburger                ;2008;17.0
Blauburgunder             ;2015;19.0
Blauer Portugieser        ;2011;15.0
Blauer Portugieser        ;2012;16.0
Blaufränkisch            ;-1;19.5
Blaufränkisch            ;2003;
Blaufränkisch            ;2004;17.0
Blaufränkisch            ;2005;35.0
Blaufränkisch            ;2006;26.1111111111
