winery,avg_score
Agricola Pugliano              ,87.0
Agricola Punica                ,90.3333333333
Agricola Querciabella          ,90.4615384615
Agricola Sulin                 ,87.5
Agricola Tamburini             ,89.0
Agricole Vallone               ,86.1666666667
Agricoltori del Chianti Geograf,87.5384615385
Agrina                         ,86.3333333333
Agrinatura                     ,85.5
Agrisole                       ,86.6666666667
Agro de Bazán                  ,85.0
AgroArgento                    ,88.5
Agrolaguna                     ,87.5
Agros                          ,84.0
Agrícola Labastida             ,89.0
Aguijón De Abeja               ,87.25
Aguirre                        ,83.125
Agur                           ,84.0
Agustinos                      ,86.4210526316
Agustí Torelló                 ,91.0
Agustí Torelló Mata            ,89.15
Agustín Cubero                 ,80.6666666667
Ahlgren                        ,88.3333333333
Ahnfeldt                       ,87.5
Aia Vecchia                    ,88.25
Aidura                         ,85.0
Aigner                         ,91.0
Aiken                          ,90.3333333333
Aila                           ,86.0
Aimé Roquesante                ,86.0
Airfield Estates               ,87.338028169
Airlie                         ,87.2727272727
Aitor Ider Balbo               ,82.0
AJB Vineyards                  ,90.0
Aje                            ,86.5
Akarua                         ,90.4
Al                             ,88.0
Al Zagal                       ,87.0
Al-Cantàra                     ,88.3333333333
Alain Brumont                  ,91.52
Alain Girard et Fils           ,87.6666666667
Alain Graillot                 ,92.0
Alain Jaume et Fils            ,89.15
Alain Poulet                   ,84.0
Alamos                         ,86.0
Alan de Val                    ,85.0
Alana Estate                   ,89.5
Alapay                         ,88.0
Alaverdi Monastery Cellar      ,92.0
Alba                           ,83.0
Alba Roja                      ,83.3333333333
Albada                         ,82.5
Albamar                        ,83.4
Alban                          ,90.5
Albatreti                      ,85.5
Albatross Ridge                ,92.7142857143
Albemarle                      ,85.0
Albeno Munari                  ,86.3333333333
Alberice                       ,85.0
Albert Besombes                ,84.0
Albert Bichot                  ,90.6324786325
Albert Morot                   ,92.25
Alberti 154                    ,84.7777777778
Albertina                      ,86.3333333333
Alberto Longo                  ,89.2
Alberto Nani                   ,85.0
Alberto Oggero                 ,89.0
Alberto Orte                   ,88.2
Alberto Voerzio                ,91.0
Albet I Noya                   ,86.1904761905
Albinea Canali                 ,84.0
Albino Armani                  ,87.25
Albino Piona                   ,87.6666666667
Albino Rocca                   ,91.75
Albis                          ,90.0
Alcance                        ,89.2
Alcardet                       ,86.4
Alchemist                      ,88.5555555556
Alchemy Wine Productions       ,83.0
Aldegheri                      ,87.2307692308
Alder Fels                     ,88.0
Alder Ridge                    ,89.8333333333
Alder Springs                  ,89.75
Alderbrook                     ,87.25
Aldo Clerico                   ,87.3333333333
Aldo Conterno                  ,92.8333333333
Aldo Polencic                  ,92.0
Aldonia                        ,89.25
Alegra                         ,88.0
Aleksander                     ,94.5
Alente                         ,87.375
Alentex                        ,84.5
Aleo                           ,87.0
Alessandro di Camporeale       ,87.75
Alessandro Rivetto             ,89.25
Alessandro Tofanari            ,89.0
Alessandro Veglio              ,87.0
Alessio Komjanc                ,88.2
Aletta                         ,82.0
Alex                           ,82.0
Alex Gambal                    ,91.0681818182
Alexana                        ,90.875
Alexander                      ,87.2222222222
Alexander the Grape            ,88.5
Alexander Valley Vineyards     ,86.1891891892
Alexander-Smith                ,89.0
Alexandra Wine Company         ,88.0
Alexandre Monmousseau          ,89.75
Alexandria Nicole              ,88.487804878
Alexis Sauvion                 ,85.0
Alfaro Family                  ,85.0
Alfasi                         ,82.0
Alfonso Boeri                  ,87.5
Alfred Gratien                 ,91.25
Alfredo Roca                   ,85.0967741935
Algairen                       ,86.0
Algodon                        ,88.3333333333
Alheit                         ,90.5
Alias                          ,84.5
Alice White                    ,85.0
Alidis                         ,90.0
Alienor                        ,90.2
Alion                          ,91.3333333333
Aljibes                        ,87.25
Alkoomi                        ,87.75
All About Red                  ,89.0
Allan Scott                    ,85.1666666667
Allandale                      ,84.0
Allegorie                      ,92.0
Allegrini                      ,89.7307692308
Alleromb                       ,90.6153846154
Allesverloren                  ,86.0
Alliance Loire                 ,84.7272727273
Alliata                        ,87.5
Allimant-Laugner               ,88.75
Allora                         ,86.0
Alloro                         ,93.2142857143
Allram                         ,91.72
Allure                         ,85.4
Allée Bleue                    ,87.3333333333
Alma Andina                    ,86.0
Alma de Cattleya               ,89.6666666667
Alma de los Andes              ,88.25
Alma del Sur                   ,84.8181818182
Alma Fria                      ,90.5714285714
Alma Negra                     ,87.5
