winery,avg_score
Allandale                      ,84.0
Allegrini                      ,87.0833333333
Alliance Loire                 ,84.7272727273
Allimant-Laugner               ,88.5555555556
Allram                         ,91.0
Allure                         ,85.4
Allée Bleue                    ,87.3333333333
Alma Andina                    ,86.0
Alma de Cattleya               ,89.0
Alma de los Andes              ,85.5
Alma del Sur                   ,84.8181818182
Alma Negra                     ,84.0
Alma Rosa                      ,88.8571428571
Alma Sol                       ,85.5
Almacruz                       ,83.0
Almez                          ,84.5
Almira                         ,86.5
Almquist                       ,87.5
Alois Lageder                  ,89.5
Aloja                          ,88.0
Alpamanta                      ,83.8
Alpataco                       ,85.2857142857
Alpha Estate                   ,87.4
Alpha Loire                    ,85.0
Alpha Zeta                     ,90.0
Alphart                        ,89.0
Alta                           ,89.0
Alta Alella                    ,88.0
Alta Cima                      ,87.0
Alta Delta                     ,83.0
Alta Luna                      ,87.5
Alta Maria                     ,90.0
Alta Vista                     ,86.15
Altadonna                      ,86.6
Altamana                       ,89.5
Altanuta                       ,87.0
Altanza                        ,86.0
Altavins                       ,86.25
Alter Ego de Palmer            ,89.0
Alterra                        ,82.0
Altesino                       ,87.75
Althe'a                        ,87.0
Althéa                         ,87.6666666667
Alto 3                         ,84.0
Alto Cinco                     ,83.0
Alto de la Ballena             ,87.5
Alto Los Romeros               ,85.6363636364
Alto Roble                     ,83.5
Altocedro                      ,85.5714285714
Altolandon                     ,84.0
Altoona Hills                  ,81.0
Altos de Cristimil             ,84.5
Altos de San Isidro            ,85.0
Altos de Sueño                 ,83.0
Altos del Cuco                 ,87.0
Altos Las Hormigas             ,87.2857142857
Altozano                       ,84.0
Altùris                        ,86.5
Alvarez de Toledo              ,87.5
Alvaro Castro                  ,90.0
Alvear                         ,88.6666666667
Alves de Sousa                 ,88.0
Alysian                        ,88.0
Além                           ,81.0
Amaboko                        ,85.0
Amador Cellars                 ,87.0
Amador Foothill Winery         ,87.0
Amadores                       ,82.0
Amalaya                        ,86.2
Amalie Robert                  ,88.6666666667
Amaral                         ,86.0
Amarano                        ,89.0
Amastuola                      ,88.0
Amathia                        ,86.0
Amatore                        ,85.0
Amavi                          ,91.0
Amayna                         ,82.0
Amberhill                      ,82.5
Ambiente                       ,82.0
Ambition                       ,86.0
Ambo Secco                     ,88.0
American Roots                 ,85.3333333333
Amici                          ,87.8333333333
Amisfield                      ,87.5
Amity                          ,84.75
Amity Vineyards                ,88.5
Amizade                        ,84.0
Ammunition                     ,89.0
Amore di Amanti                ,84.0
Ampelos                        ,88.0
Amézola                        ,88.0
Anakena                        ,85.9666666667
Analivia                       ,86.25
Anapamu                        ,86.6666666667
Anatomy                        ,82.0
Ancestry                       ,87.5
Anciano                        ,85.5
Ancient Cellars                ,87.6666666667
Ancient Oak Cellars            ,88.0
Ancient Peaks                  ,86.4827586207
Ancient Roots                  ,89.0
Ancilla                        ,88.5
Andean                         ,85.25
Andean Sky                     ,86.0
Andeluna                       ,85.1785714286
Andes Grapes                   ,88.0
Andis                          ,88.6875
Andrea Oberto                  ,90.3333333333
Andreola                       ,88.2857142857
Andreola Orsola                ,86.6666666667
Andrero                        ,85.0
Andresen                       ,89.5
Andretti                       ,87.0
Andrew Harris                  ,87.0
Andrew Murray                  ,89.1428571429
Andrew Peace                   ,84.3333333333
Andrew Rich                    ,91.5
Andriano                       ,88.1111111111
Andrieux & Fils                ,86.0
André Blanck et ses Fils       ,88.75
André Brunel                   ,87.5
André Guichot                  ,85.8
André Kientzler                ,87.7272727273
Anecoop                        ,83.5
Anew                           ,87.0
Angel Juice                    ,83.0
Angel Vine                     ,89.5555555556
Angel's Cup                    ,86.0
Angel's Secret                 ,86.0
Angeli di Varano               ,87.0
Angeline                       ,85.7083333333
Angelini                       ,84.3333333333
Angelo Bortolin                ,87.0
Angelo Negro & Figli           ,88.5
Angels & Cowboys               ,88.0
Angerhof Tschida               ,93.0
Anglim                         ,88.0
Angosto                        ,87.3333333333
Angove                         ,90.0
Angove's                       ,84.2857142857
Angry Bunch                    ,86.0
Angulo Innocenti               ,86.0
Angus The Bull                 ,86.0
Aniello                        ,86.0
Anier                          ,89.0
Animale                        ,87.3333333333
Anita et André Kuhnel          ,87.0
Anko                           ,85.3333333333
Anna Spinato                   ,85.5714285714
Annabella                      ,83.5
Anne Amie                      ,85.5
Annefield Vineyards            ,84.0
Annie's Lane                   ,87.0
Anselma                        ,91.0
Anselmi                        ,88.25
Anselmo Mendes                 ,90.8
Ansgar Clüsserath              ,90.0
Ant Moore                      ,91.0
