variety, nocorr
Tempranillo-Shiraz,8
Sousão,8
Sauvignon Blanc-Chardonnay,8
Colombard-Ugni Blanc,8
Cesanese d'Affile,8
Altesse,8
Posip,8
Nosiola,8
Garnacha Tintorera,8
Cabernet Sauvignon-Sangiovese,8
Okuzgozu,8
Syrah-Tempranillo,7
Narince,7
Touriga Franca,7
Tempranillo-Merlot,7
Teran,7
Jaen,7
Mission,7
Morillon,7
Tokay,7
Duras,7
Syrah-Merlot,7
Mantonico,7
Chardonnay-Semillon,7
Gewürztraminer-Riesling,7
Nascetta,7
Feteasca Neagra,7
Trebbiano Spoletino,7
Carmenère-Syrah,7
Viognier-Roussanne,7
Bual,7
Mavrud,7
Mauzac,7
Rieslaner,6
Chardonnay-Sauvignon Blanc,6
Chenin Blanc-Sauvignon Blanc,6
Avesso,6
Feteascǎ Regalǎ,6
Prié Blanc,6
Kisi,6
Sangiovese-Cabernet Sauvignon,6
Merlot-Malbec,6
Grenache-Mourvèdre,6
Tannat-Syrah,6
Susumaniello,6
Roter Traminer,6
Blanc du Bois,6
Nerello Cappuccio,6
Garnacha-Tempranillo,6
Maturana,6
Verduzzo,6
Greco Bianco,6
Chardonnay-Sauvignon,6
Moscatel Roxo,6
Pinot-Chardonnay,6
Trousseau,6
Malvasia Nera,6
Valdiguié,6
Moscadello,6
Chardonnay-Pinot Blanc,5
Sciaccerellu,5
Aleatico,5
Symphony,5
Verdeca,5
Zierfandler-Rotgipfler,5
Alvarinho-Chardonnay,5
Sämling,5
Malbec-Bonarda,5
Pallagrello Bianco,5
Carineña,5
Sangiovese-Syrah,5
Savatiano,5
Mavrodaphne,5
Tinta Barroca,5
Timorasso,5
Braucol,5
Roussanne-Marsanne,5
Alicante,5
Semillon-Chardonnay,5
Syrah-Cabernet Franc,5
Casavecchia,5
Mtsvane,5
Verdejo-Sauvignon Blanc,5
Pallagrello Nero,5
Muskateller,5
Viosinho,5
Robola,4
Macabeo-Chardonnay,4
Roditis,4
Monica,4
Mansois,4
Elbling,4
Malbec-Petit Verdot,4
Boğazkere,4
Códega do Larinho,4
Syrah-Carignan,4
Vinhão,4
Cabernet Franc-Malbec,4
Sauvignon Blanc-Chenin Blanc,4
Veltliner,4
Muskat,4
Sauvignon Blanc-Verdejo,4
Rolle,4
Pinot Blanc-Chardonnay,4
Muscat Hamburg,4
Babić,4
Magliocco,4
Vilana,4
Malagouzia,4
Fer Servadou,4
Vranec,4
Bovale,4
Emir,4
Marselan,4
Edelzwicker,4
Mazuelo,4
Pignoletto,4
Sangiovese Cabernet,4
Grenache-Shiraz,4
Cerceal,3
Carignan-Syrah,3
Grenache Noir,3
Debit,3
Muscatel,3
Argaman,3
Melnik,3
Merlot-Tannat,3
Ugni Blanc,3
Abouriou,3
Syrah-Petit Verdot,3
Shiraz-Malbec,3
Nuragus,3
Canaiolo,3
Pugnitello,3
Viognier-Grenache Blanc,3
Garnacha-Monastrell,3
Poulsard,3
Jacquez,3
Airen,3
Mourvèdre-Syrah,3
Listán Negro,3
Erbaluce,3
Treixadura,3
Cabernet Sauvignon-Merlot-Shiraz,3
Ciliegiolo,3
Malbec Blend,3
Malbec-Cabernet,3
Marawi,3
Papaskarasi,3
Asprinio,3
Madeira Blend,3
Muscat d'Alexandrie,3
Azal,3
Romorantin,3
Touriga,3
Vitovska,3
Clairette,3
Chinuri,3
Pinot Noir-Syrah,3
Grolleau,3
Muscat Blanc à Petits Grains,3
Shiraz-Mourvèdre,3
Rivaner,3
Moscatel de Alejandría,3
Shiraz-Cabernet,3
Souzao,3
Malvasia-Viura,3
Trousseau Gris,3
Incrocio Manzoni,3
Rebula,3
Verduzzo Friulano ,3
