winery,avg_score,avgscore2
Kovács Nimród                  ,89.11111111,89
Krasia May                     ,89,89
Krutz                          ,89.79166667,89
Kuentz-Bas                     ,89.23529412,89
Kurt Angerer                   ,89.76470588,89
Kutch                          ,89.5,89
La Antigua                     ,89,89
La Braccesca                   ,89.61538462,89
La Castellada                  ,89,89
La Chertosa                    ,89.33333333,89
La Clarine Farm                ,89.64705882,89
La Croix                       ,89,89
La Fenêtre                     ,89.32258065,89
La Folia Winery                ,89.31578947,89
La Greña                       ,89,89
La Honda Winery                ,89.2,89
La Monacesca                   ,89,89
La Pitchoune                   ,89.88888889,89
La Quercia                     ,89,89
La Rasina                      ,89.5,89
La Roncaia                     ,89.4,89
La Spinosa Alta                ,89,89
La Valle                       ,89.66666667,89
Lake and Vine Cellars          ,89,89
Lake Breeze                    ,89,89
Lambardi                       ,89.57142857,89
Lambert                        ,89.5,89
Lamole di Lamole               ,89.55555556,89
Lampyridae                     ,89,89
Lanark Lane                    ,89,89
Land of Hope                   ,89,89
Lang & Reed                    ,89.2,89
Langtry                        ,89.21052632,89
Lannac Saint-Jean              ,89.4,89
Larner                         ,89.55555556,89
Larrea                         ,89,89
Last Light                     ,89.11111111,89
Laura Michael                  ,89,89
Laurens                        ,89,89
Laurent de Bescombes Singla    ,89,89
Laurent Gauthier               ,89.5,89
Lavau                          ,89.125,89
Lazzeretti                     ,89.53846154,89
Le Bocce                       ,89.33333333,89
Le Casque                      ,89.25,89
Le Cecche                      ,89,89
Le Cinciole                    ,89,89
Le Due Terre                   ,89,89
Le Nardian                     ,89,89
Le P'tit Paysan                ,89.5,89
Le Ragose                      ,89.88888889,89
Le Riche                       ,89,89
Le Strette                     ,89.85714286,89
Le Strie                       ,89,89
Le Vigne                       ,89.39285714,89
Le Vigne di Eli                ,89.4,89
Leah Jørgensen Cellars         ,89.3,89
Lecci e Brocchi                ,89.5,89
Lecco                          ,89.4,89
Ledson                         ,89.13636364,89
Leeuwin Estate                 ,89.96774194,89
Left Bend                      ,89.94736842,89
Legras & Haas                  ,89.5,89
Lemelson                       ,89.63333333,89
Lemos & Van Zeller             ,89,89
Lenikus                        ,89.2,89
Leon Beyer                     ,89.82608696,89
Les Frères Dutruy              ,89.5,89
Les Héritiers du Comte Lafon   ,89.28571429,89
Les Vignerons de Tautavel Vingr,89,89
Les Vignes des Prêcheurs       ,89,89
Leth                           ,89.85,89
Levo                           ,89.33333333,89
Lichen Estate                  ,89.33333333,89
Lime Rock                      ,89,89
Lincourt                       ,89.09677419,89
Lions Drift                    ,89,89
Lis Neris                      ,89.34615385,89
Livio Felluga                  ,89.81578947,89
Livio Voghera                  ,89.08333333,89
Llopart                        ,89.07692308,89
Loacker Corte Pavone           ,89,89
Lobo                           ,89.77777778,89
Lobo Hills                     ,89.77777778,89
Locations                      ,89,89
Loel                           ,89,89
Loma Prieta                    ,89.5,89
Londer                         ,89.33333333,89
Lone Madrone                   ,89.75675676,89
Long Meadow Ranch              ,89.28571429,89
Longboard                      ,89.56862745,89
Longoria                       ,89.59375,89
Lookout Point                  ,89,89
Loosen Bros.                   ,89.375,89
Lost Canyon                    ,89.69230769,89
Lothian Vineyards              ,89,89
Louis Barthélémy               ,89.6,89
Louis de Sacy                  ,89.6,89
Louis Métaireau                ,89,89
Lucia                          ,89.18181818,89
Luddite                        ,89.33333333,89
Luigi Giordano                 ,89,89
Luigi Voghera                  ,89,89
Luis Alegre                    ,89.66666667,89
Luis Cañas                     ,89.75,89
Luis Pato                      ,89,89
Lujon                          ,89.125,89
Lullaby                        ,89.2,89
Luna                           ,89.69230769,89
Luna Hart                      ,89.66666667,89
Lusovini                       ,89,89
Lusso Della Terra              ,89.85714286,89
M. Chapoutier                  ,89.08571429,89
Macarico                       ,89,89
MacLeod                        ,89.66666667,89
MacRostie                      ,89.69387755,89
Madorom                        ,89.33333333,89
Magna Mater                    ,89.5,89
Magnum Vinhos                  ,89.48648649,89
Maison Ambroise                ,89,89
Maison Angelvin                ,89.25,89
Maison Champy                  ,89.42,89
Maison du Midi                 ,89,89
Maison Jessiaume               ,89.4,89
Maison Saint Aix               ,89.5,89
Majolini                       ,89.66666667,89
majoros                        ,89,89
Maldonado                      ,89.42857143,89
Man O' War                     ,89.5,89
Manross                        ,89.5,89
Mantlerhof                     ,89.66666667,89
Manu Propria                   ,89.66666667,89
Marc Kreydenweiss              ,89.44444444,89
Marcel Lapierre                ,89,89
Marchand & Burch               ,89,89
Marchesato degli Aleramici     ,89.75,89
Marchesi de' Frescobaldi       ,89.09090909,89
Marchesi di Barolo             ,89.5625,89
Marenco                        ,89,89
Margarethenhof                 ,89,89
Marie Copinet                  ,89.8,89
Mario Perelli-Minetti          ,89,89
Marion                         ,89.25,89
Maritávora                     ,89.4,89
Market Vineyards               ,89.38888889,89
Markus Altenburger             ,89.14285714,89
Marqués de Arviza              ,89,89
Marqués de Vitoria             ,89,89
Marshall Davis                 ,89.33333333,89
Marsiliana                     ,89.33333333,89
Martha's Wines                 ,89,89
Martin Woods                   ,89.5,89
Martí Fabra                    ,89,89
Marziano Abbona                ,89.8,89
Mas Blanch I Jové              ,89.5,89
Mas d'en Gil                   ,89.8,89
Mas de la Dame                 ,89.5,89
Mas de la Rouvière             ,89.5,89
Mas des Bressades              ,89.57142857,89
Mas Gabinèle                   ,89.75,89
Mas La Mola                    ,89.5,89
Mas Saint-Louis                ,89,89
Masari                         ,89,89
Masciarelli                    ,89.41176471,89
Mastroberardino                ,89.27272727,89
Matanzas Creek                 ,89.425,89
Matteo                         ,89,89
Matteo Correggia               ,89.1,89
Maurer                         ,89.75,89
Maurice Schoech & Fils         ,89.5,89
Mauritson                      ,89.52631579,89
Maverick                       ,89.66666667,89
Max Ferd. Richter              ,89,89
Max Wagner                     ,89.5,89
Mayer am Pfarrplatz            ,89.875,89
Maçanita Vinhos                ,89,89
McCall                         ,89.63157895,89
McCrea Cellars                 ,89.21428571,89
McDermaid                      ,89,89
McGah Family                   ,89,89
McIntyre Vineyards             ,89.48571429,89
McPherson Wine Company         ,89.4,89
MCV                            ,89.76190476,89
Meierer                        ,89,89
Mendel                         ,89.17647059,89
Mendocino Vineyards            ,89,89
Mer Soleil                     ,89.5,89
Mercouri Estate                ,89.75,89
Mercy                          ,89.25806452,89
Meroi                          ,89.5,89
Mersenne                       ,89.8,89
Mesa                           ,89,89
Mesa Del Sol                   ,89.92307692,89
Mesh                           ,89,89
Mestres                        ,89,89
Meyer Family Cellars           ,89.375,89
Mi Terruño                     ,89,89
Michael Rose Cellars           ,89,89
Michel et Joana Ecard          ,89,89
Michel Gassier                 ,89.33333333,89
Michel Gros                    ,89.75,89
Michel Redde et Fils           ,89.7,89
Michele Chiarlo                ,89.92307692,89
Midalidare                     ,89.5,89
Midsummer Cellars              ,89.46666667,89
Mikami Vineyards               ,89.33333333,89
Milo                           ,89,89
Minimus                        ,89.2,89
Mission Hill                   ,89.61538462,89
Misty Cove                     ,89,89
Mitchelton                     ,89,89
Mitolo                         ,89.63636364,89
Molinari Carlo                 ,89,89
Monchiero                      ,89.5,89
Moniker                        ,89.375,89
Montauto                       ,89,89
Monte Rossa                    ,89.5,89
Montecalvi                     ,89,89
Montecastro                    ,89.6,89
Montemercurio                  ,89.77777778,89
Montenisa                      ,89,89
Monteviejo                     ,89.5,89
Montezovo                      ,89.33333333,89
Monti                          ,89,89
Montserrat Canals Torres       ,89,89
Moraitis                       ,89,89
Morgadío                       ,89,89
Morgan                         ,89.36,89
Morra Diego                    ,89.33333333,89
Morro View Winery              ,89,89
Moser                          ,89.75,89
Mosquito Fleet                 ,89,89
Mount Michael                  ,89,89
Mount Veeder                   ,89.27272727,89
Mt. Konocti Winery             ,89.14285714,89
Muga                           ,89.14285714,89
Mulvane Wine Co.               ,89.25,89
Mumm Napa                      ,89.79310345,89
Municipal Winemakers           ,89.1875,89
Muratie                        ,89.2,89
Musella                        ,89.4,89
Museum                         ,89.5,89
Musico                         ,89,89
Muxagat                        ,89.26666667,89
Muzic                          ,89,89
Máté                           ,89,89
Münzenrieder                   ,89.125,89
Nadia                          ,89.5,89
Nagy                           ,89.6,89
Nanny Goat                     ,89,89
Napa by N.A.P.A.               ,89,89
Napa Redwoods Estate           ,89,89
Napa Smith                     ,89,89
Nasiakos                       ,89.625,89
Nastl                          ,89.23076923,89
Nauerth-Gnägy                  ,89.75,89
Nautilus                       ,89.26666667,89
Navarro                        ,89.68571429,89
Nefarious                      ,89.96296296,89
Negretti                       ,89.24,89
Negro Angelo e Figli           ,89.27272727,89
Negro Giuseppe                 ,89.28571429,89
Nein Lives                     ,89,89
Nera                           ,89.6,89
Neudorf                        ,89.66666667,89
Neumeister                     ,89.92105263,89
Newsome-Harlow                 ,89.9,89
Nice                           ,89.25,89
Nicolis                        ,89.46666667,89
Nielson by Byron               ,89,89
Nino Negri                     ,89.58823529,89
Ninquén                        ,89.42857143,89
Nitida                         ,89,89
Nittardi                       ,89.81818182,89
Nittnaus Hans und Christine    ,89.62857143,89
Nodland                        ,89,89
Nollen                         ,89,89
Nora da Neve                   ,89,89
Novaia                         ,89,89
Novelty Hill                   ,89.67045455,89
Nunum                          ,89,89
Oberbergen                     ,89,89
Obrien & Obrien                ,89,89
Occasio                        ,89.8,89
Oddero                         ,89.47058824,89
Ognissole                      ,89,89
Old School                     ,89,89
Olek Bondonio                  ,89.8,89
Ophalum                        ,89,89
Or Haganuz                     ,89.07692308,89
Orballo                        ,89,89
Oregon Territory               ,89.5,89
Orgo                           ,89.25,89
Orlando Abrigo                 ,89.06666667,89
Ormanni                        ,89.33333333,89
Oráculo                        ,89,89
Ostler                         ,89,89
Otero Ramos                    ,89,89
Otis Kenyon                    ,89.57142857,89
Ousterhout                     ,89.34782609,89
Pacific Ridge                  ,89.33333333,89
Paitin                         ,89.2,89
Palazzo Vecchio                ,89.42857143,89
Palencia                       ,89.77777778,89
Pali                           ,89,89
Palliser Estate                ,89.25,89
Panther Creek                  ,89.94871795,89
Paolo Manzone                  ,89.36363636,89
Paraduxx                       ,89.125,89
Pardas                         ,89.66666667,89
Pargua                         ,89.6,89
Paritua                        ,89,89
Parker                         ,89.4,89
Pask                           ,89,89
Paskett                        ,89,89
PasoPort                       ,89.5,89
Passing Clouds                 ,89,89
Paternoster                    ,89.42857143,89
Paternò di Vittoria            ,89,89
Patianna                       ,89.33333333,89
Patrick Tranchand              ,89,89
Patton Valley                  ,89.61538462,89
Paul Cluver                    ,89.5,89
Paul O'Brien                   ,89.71428571,89
Paumanok                       ,89.54545455,89
Pecchenino                     ,89.84210526,89
Pedra Cancela                  ,89.66666667,89
Pegasus Estate                 ,89,89
Peique                         ,89.4,89
Pellegrini                     ,89.1875,89
Pemartín                       ,89,89
Penché                         ,89.33333333,89
Pentagon                       ,89,89
Peregrine                      ,89.3,89
Perelada                       ,89.42857143,89
Periple                        ,89,89
Pertinace                      ,89.13043478,89
Pessagno                       ,89.6875,89
Petaluma                       ,89.57142857,89
Peter Franus                   ,89.17647059,89
Peter Nicolay                  ,89.11538462,89
Petra                          ,89.90909091,89
Pfeffingen                     ,89,89
Pflüger                        ,89.1875,89
Phelps Creek                   ,89.36842105,89
Phifer Pavitt                  ,89.33333333,89
Philippe Borlais               ,89,89
Philippe Fontaine              ,89.25,89
Philippe Jeannot               ,89,89
PianCornello                   ,89.625,89
Pico Madama                    ,89,89
Pictor                         ,89.66666667,89
Piero Busso                    ,89.88888889,89
Pierre Merguey                 ,89.25,89
Pierre Moncuit                 ,89.25,89
Pierre Vessigaud               ,89.5,89
Pietracupa                     ,89.25,89
Pietranera                     ,89.5,89
Pietro Rinaldi                 ,89.46153846,89
Pietroso                       ,89.625,89
Pike Road                      ,89,89
Pikes                          ,89.44444444,89
Pilandro                       ,89,89
Pine Ridge                     ,89.48571429,89
Pingón                         ,89.25,89
Pinino                         ,89.3,89
Pio Cesare                     ,89.22222222,89
Piombaia Rossi-Cantini         ,89,89
Piper-Heidsieck                ,89.85714286,89
Pizzorno                       ,89.25,89
Planeta                        ,89.55555556,89
Plantagenet                    ,89.03846154,89
Plozza                         ,89.75,89
Podere Monastero               ,89,89
Podere Paganico                ,89.16666667,89
Podere Ruggeri Corsini         ,89.625,89
Podere Scopetone               ,89.5,89
Poderi Colla                   ,89.47058824,89
Poderi San Lazzaro             ,89,89
Poggi Wines                    ,89.5,89
Poggio al Tesoro               ,89.95454545,89
Poggio Argentiera              ,89.36363636,89
Poggio il Castellare           ,89,89
Poggio Mandorlo                ,89.54545455,89
Poggio Rubino                  ,89.33333333,89
Point Concepción               ,89,89
Poissinet                      ,89,89
Poliziano                      ,89.26315789,89
Polkura                        ,89.22222222,89
Porto Carras                   ,89,89
Poupille                       ,89,89
Pratello                       ,89,89
Pratesi                        ,89.46666667,89
Preisinger                     ,89.2,89
Press Cellars                  ,89,89
Prima Materia                  ,89.6,89
Principe Corsini               ,89,89
Principe Corsini Fattoria Le Co,89.45454545,89
Principiano Ferdinando         ,89.25,89
Prinz von Hessen               ,89,89
Produttori Colterenzio         ,89.25,89
Proelio                        ,89,89
Prophet's Rock                 ,89.5,89
Protos                         ,89.52173913,89
Provenance Vineyards           ,89.21428571,89
Provence Wine Maker            ,89,89
Provincial Vineyards           ,89,89
Provolo                        ,89,89
Prunotto                       ,89.93103448,89
Prà                            ,89,89
Puelles                        ,89,89
Pujanza                        ,89.85714286,89
Purcari                        ,89.52941176,89
Purple Hands                   ,89.86666667,89
Quady                          ,89.88235294,89
Quady North                    ,89.525,89
Quails' Gate                   ,89.375,89
Quanta Terra                   ,89.36363636,89
Quarles Harris                 ,89.66666667,89
Querceto di Castellina         ,89.66666667,89
Querciabella                   ,89.33333333,89
Querciavalle                   ,89,89
Quinta da Gaivosa              ,89,89
Quinta da Nespereira           ,89,89
Quinta da Rede                 ,89.19047619,89
Quinta das Marias              ,89.8,89
Quinta de Chocapalha           ,89.51351351,89
Quinta de Pancas               ,89,89
Quinta do Ameal                ,89.8,89
Quinta do Passadouro           ,89.13793103,89
Quinta do Pinto                ,89.08333333,89
Quinta do Pôpa                 ,89.09090909,89
Quinta do Sobral               ,89.5,89
Quinta dos Murças              ,89.36842105,89
Quinta dos Roques              ,89,89
Quinta Nova de Nossa Senhora do,89.92592593,89
Quinta Seara d'Ordens          ,89.66666667,89
Quinta Vale de Fornos          ,89,89
Quivira                        ,89.3220339,89
Qupé                           ,89.6,89
R. Stuart & Co.                ,89.25,89
Raconteur                      ,89.5,89
Rainoldi                       ,89.66666667,89
Ramos-Pinto                    ,89.56862745,89
Ravenswood                     ,89.37777778,89
Raymond                        ,89.19178082,89
Re Manfredi                    ,89.14285714,89
Recoletas                      ,89.5,89
Rectoral do Mar                ,89,89
Refugio Ranch                  ,89.32,89
Regale Winery and Vineyards    ,89.5,89
Regio Cantina                  ,89,89
Remhoogte                      ,89.4,89
Renato Buganza                 ,89,89
Renteria                       ,89.3125,89
Rento                          ,89,89
Renwood                        ,89.27419355,89
Resalte                        ,89.9375,89
Rexach Baqués                  ,89,89
Rexford                        ,89,89
Richard Böcking                ,89.2,89
Rideau                         ,89.87878788,89
Ridolfi                        ,89.35714286,89
Riecine                        ,89.5,89
Rieflé                         ,89.56521739,89
Rijckaert                      ,89.72727273,89
Ringbolt                       ,89.66666667,89
Rio Alto                       ,89,89
Rippon                         ,89,89
River's Edge                   ,89.07692308,89
Riverbench                     ,89.67567568,89
Rivetti Massimo                ,89.29166667,89
Rizieri                        ,89.33333333,89
Roagna                         ,89.5,89
Robert James Lynch             ,89,89
Robert John                    ,89,89
Robert Karl                    ,89.15384615,89
Robert Renzoni                 ,89.33333333,89
Roberto Cipresso               ,89,89
Robinson Family Vineyards      ,89.66666667,89
Rockledge Vineyards            ,89,89
Rocky Gully                    ,89.5,89
Rocky Hill                     ,89.28571429,89
Roessler                       ,89.44444444,89
Roger et Didier Raimbault      ,89.45454545,89
Roland Champion                ,89.16666667,89
Romeo                          ,89.5,89
Roque Colás                    ,89,89
Rosenhof                       ,89.86363636,89
Ross-idi                       ,89,89
Rossi Wallace                  ,89,89
Rotari                         ,89.13043478,89
Rotta                          ,89,89
Round Pond                     ,89.55,89
Roux Père et Fils              ,89.22222222,89
Rowland                        ,89,89
Roy J. Maier                   ,89,89
Royal de Jarras                ,89,89
Royal Oporto                   ,89.44444444,89
Rudera                         ,89.16666667,89
Rudi Schultz                   ,89.5,89
Ruffino                        ,89.09090909,89
Rule of Three                  ,89.5,89
Russiz Superiore               ,89.76,89
Rust en Vrede                  ,89.11111111,89
Rustenberg                     ,89.45454545,89
S. Anderson                    ,89.75,89
S. P. Drummer                  ,89.33333333,89
Sacred Hill                    ,89.2,89
Saddleback Cellars             ,89.66666667,89
Salcis                         ,89,89
Salem Wine Company             ,89,89
Salida                         ,89,89
Salvestrin                     ,89.92307692,89
San Benedetto                  ,89,89
San Biagio                     ,89.66666667,89
San Fereolo                    ,89,89
San Giacomo                    ,89,89
San Martino                    ,89.625,89
San Pedro de Yacochuya         ,89,89
Sanctuary                      ,89.8,89
Sanctum                        ,89,89
Sandeman                       ,89.66666667,89
Santa Maria                    ,89.5,89
Sapolil Cellars                ,89,89
Saracco                        ,89.5,89
SassodiSole                    ,89.0625,89
Sattlerhof                     ,89.8,89
Savage Grace                   ,89.39393939,89
Scenic Valley Farms            ,89.75,89
Schloss Wallhausen             ,89,89
Schlumberger                   ,89,89
Schmitges                      ,89.66666667,89
Schneider                      ,89,89
Scratch                        ,89.625,89
Scrimaglio                     ,89,89
Sea Monster                    ,89.25,89
Seghesio                       ,89.63888889,89
Seguin-Manuel                  ,89.7,89
Selva Capuzza                  ,89.92307692,89
Selvapiana                     ,89.71428571,89
Senhora do Convento            ,89.66666667,89
Sepp Moser                     ,89.66666667,89
Serena's Vineyard              ,89,89
Seresin                        ,89.83333333,89
Serni Fulvio Luigi             ,89.2,89
Serpens                        ,89,89
Sesti                          ,89.76923077,89
Setzer                         ,89.06666667,89
Seufert                        ,89.2,89
Seven Angels                   ,89.36363636,89
Señorío de Cuzcurrita          ,89,89
Shadybrook                     ,89,89
Shalauri Cellars               ,89.5,89
Shannon                        ,89.83333333,89
Sharecropper's                 ,89,89
Shaw and Smith                 ,89.33333333,89
Shepherds Ridge                ,89,89
Shiloh Winery                  ,89.57142857,89
Shinn Estate                   ,89.33333333,89
Sierra Cantabria               ,89.18181818,89
Siesta                         ,89,89
Siete Fincas                   ,89.75,89
Signaterra Benziger            ,89,89
Signorello                     ,89.64705882,89
Silenus                        ,89,89
Sill Family                    ,89,89
Silvano Follador               ,89,89
Silvara                        ,89,89
Silver Mountain                ,89.6,89
Silver Oak                     ,89.8,89
Silver Stag                    ,89,89
Silvertip                      ,89,89
Simonsig                       ,89.03125,89
Simple Life                    ,89,89
Simué                          ,89,89
Sirius                         ,89,89
Sixteen by Twenty              ,89,89
Slingshot                      ,89,89
Smith Woodhouse                ,89,89
Snowy Peaks                    ,89,89
SoDo                           ,89.66666667,89
Soellner                       ,89,89
Sogevinus                      ,89.5,89
Solabal                        ,89.16666667,89
Soluna                         ,89,89
Somlói Vándor                  ,89,89
Sonberk                        ,89,89
Sonim                          ,89,89
Sonnet                         ,89,89
SonVida                        ,89.5,89
Southold                       ,89.5,89
Soutiran                       ,89.94117647,89
Sparkman                       ,89.95833333,89
Sparrow Hawk                   ,89.5,89
Spell                          ,89.05263158,89
St Hallett                     ,89.61538462,89
St. Hubertus                   ,89,89
St. Pauls                      ,89.02941176,89
Stack House                    ,89,89
Stapleton & Springer           ,89,89
Starfield                      ,89,89
Stasis                         ,89,89
Steininger                     ,89.21666667,89
Steltzner                      ,89,89
Stephan Ehlen                  ,89.4,89
Stephen Ross                   ,89.6779661,89
Stevens                        ,89.96078431,89
Stift Klosterneuburg           ,89.78378378,89
Still River                    ,89,89
Stoller                        ,89.44680851,89
Stone Wolf                     ,89,89
Stonier                        ,89.33333333,89
Stopham Estate                 ,89,89
Storybook Mountain             ,89.2,89
Straight Line                  ,89.5,89
Stryker Sonoma                 ,89.5,89
Stuhlmuller Vineyards          ,89.10526316,89
Sturm                          ,89.25,89
Summers                        ,89.12765957,89
Sundae wines                   ,89,89
Sutor                          ,89,89
Svago Buono                    ,89,89
Swick                          ,89.25,89
Sélection Laurence Féraud      ,89.36363636,89
T.A.T.T                        ,89,89
T.P.O.                         ,89,89
Tablas Creek                   ,89,89
Tait Wines                     ,89.5,89
Taken Wine Co.                 ,89.25,89
Talbott                        ,89.17307692,89
Talenti                        ,89.78571429,89
Taltarni                       ,89,89
Tamaral                        ,89,89
Tangent                        ,89.25581395,89
Tara Bella                     ,89,89
Tassi                          ,89.07692308,89
Te Awa                         ,89.14285714,89
Teddy Hall                     ,89.66666667,89
Tejada                         ,89,89
Tement                         ,89.42857143,89
Temps de Flors                 ,89,89
Tempus Cellars                 ,89,89
Tenshen                        ,89.42857143,89
Tenuta Arnulfo                 ,89.5,89
Tenuta Belguardo               ,89,89
Tenuta degli Dei               ,89.5,89
Tenuta del Nanfro              ,89,89
Tenuta del Portale             ,89.66666667,89
Tenuta di Arceno               ,89.5,89
Tenuta di Capraia              ,89.4,89
Tenuta di Ceppaiano            ,89.2,89
Tenuta di Fiorano              ,89.5,89
Tenuta di Ghizzano             ,89.16666667,89
Tenuta di Poggio Uliveto       ,89,89
Tenuta Duecorti                ,89,89
Tenuta Friggiali               ,89.54545455,89
Tenuta Il Faggeto              ,89,89
Tenuta Klaus Lentsch           ,89.5,89
Tenuta Le Querce               ,89.66666667,89
Tenuta San Giorgio             ,89.33333333,89
Tenuta San Mauro               ,89,89
Tenuta Sant'Antonio            ,89.07692308,89
Tenuta Sette Cieli             ,89.81818182,89
Tenuta Valdipiatta             ,89.14285714,89
Tenuta Villa Trasqua           ,89.71428571,89
Tenuta Vitanza                 ,89,89
Tenute Cisa Asinari dei Marches,89.10526316,89
Tenute Lunelli                 ,89.7,89
Tenute Niccolai                ,89.25,89
Tercic                         ,89,89
Terenzi                        ,89.84615385,89
Terra Bella                    ,89.5,89
Terra d'Arcoiris               ,89,89
Terra Valentine                ,89.41860465,89
Terras de Lantaño              ,89,89
Terrazas del Moncayo           ,89,89
Terrazze dell'Etna             ,89.18181818,89
Terre da Vino                  ,89.18181818,89
Terre del Marchesato           ,89,89
Terre di Balbia                ,89,89
Terre di Leone                 ,89,89
Terre Nere                     ,89.2,89
Tessari                        ,89,89
Teusner                        ,89,89
Textbook                       ,89,89
The Big Easy                   ,89,89
The Black Chook                ,89.33333333,89
The Calling                    ,89.76470588,89
The Dot                        ,89.8,89
The Four Graces                ,89.9375,89
The Gardener                   ,89.5,89
The Leader                     ,89,89
The Terraces                   ,89,89
The Walls                      ,89,89
The Withers Winery             ,89.8,89
Thibert Père et Fils           ,89,89
Thistle                        ,89.27272727,89
Thistledown                    ,89.6,89
Thomas Goss                    ,89,89
Thorn                          ,89,89
Tiefenbrunner                  ,89.30769231,89
Tierce                         ,89,89
Tiezzi                         ,89.85714286,89
Tiki Sound                     ,89,89
Tinhof                         ,89.24324324,89
Tinto Rey                      ,89,89
Tio Pepe                       ,89,89
Tionio                         ,89,89
Tirapelle Nicola               ,89,89
Tiziano Mazzoni                ,89.33333333,89
Tokara                         ,89.375,89
Tolaini                        ,89.8,89
Tondré                         ,89.42857143,89
Toogood                        ,89,89
Tosalet                        ,89.2,89
Tournesol                      ,89,89
Tournon by Michel Chapoutier   ,89.71428571,89
Township 7                     ,89.26315789,89
Tre Monti                      ,89.93333333,89
Treana                         ,89.94444444,89
Trellis                        ,89,89
Trerose                        ,89,89
Trespass                       ,89.5,89
Trinchero                      ,89.0952381,89
Trione                         ,89.53125,89
Trizanne                       ,89.5,89
Trossos del Priorat            ,89.66666667,89
Trust                          ,89.66666667,89
Tsililis                       ,89.66666667,89
Tulip Winery                   ,89.63636364,89
Tuxedo Cellars                 ,89.33333333,89
Twisted Oak                    ,89.21428571,89
Two Hands                      ,89.45454545,89
Two Paddocks                   ,89.57142857,89
Twomey                         ,89.13043478,89
Ulithorne                      ,89,89
Union Beaujolaise              ,89,89
Vadio Wines                    ,89.5,89
Vagabond                       ,89.5,89
Valdelacierva                  ,89.5,89
Valdelamillo                   ,89,89
Valderiz                       ,89.4,89
Valdipiatta                    ,89,89
Vale da Corça                  ,89.5,89
Valenciso                      ,89.5,89
Valerie's Vineyard             ,89,89
Valle da Fonte                 ,89,89
Valli                          ,89.2,89
Valserrano                     ,89.8,89
Van Zellers                    ,89,89
Vasco Urbano                   ,89.57142857,89
Vavasour                       ,89,89
Vazart Coquart & Fils          ,89.33333333,89
Vecchie Terre di Montefili     ,89.5,89
Veedercrest                    ,89.66666667,89
Vega Escal                     ,89,89
Velocity                       ,89,89
Verbena                        ,89.06666667,89
Vereinigte Hospitien           ,89,89
Vermeil                        ,89.05263158,89
VGS                            ,89.4,89
VGS Chateau Potelle            ,89.63636364,89
Vidal-Fleury                   ,89.5,89
Vie di Romans                  ,89.375,89
Viento                         ,89.125,89
Vigna Traverso                 ,89,89
Vignoble des 2 Lunes           ,89.16666667,89
Vignobles Bulliat              ,89.71428571,89
Vignobles Guy Mousset et Fils  ,89,89
Vignobles Laffourcade          ,89,89
Vilerma                        ,89,89
Villa al Cortile               ,89,89
Villa Bizzarri                 ,89,89
Villa Huesgen                  ,89.38461538,89
Villa Le Prata                 ,89.11111111,89
Villa Maria                    ,89.26530612,89
Villa Oneiro                   ,89.33333333,89
Villa Papiano                  ,89,89
Villa Poggio Salvi             ,89.7,89
Villa Yambol                   ,89,89
Villa Yustina                  ,89,89
Villicana                      ,89.75,89
Vinas Zurinaga                 ,89,89
Vindemio                       ,89,89
Vinessens                      ,89.66666667,89
Vino La Monarcha               ,89,89
Vino Noceto                    ,89,89
VinRoc                         ,89.5,89
Vintage Cowboy                 ,89,89
Vinyes Doménech                ,89.33333333,89
Vinícola Real                  ,89,89
Virage                         ,89.1,89
Vitevis                        ,89,89
Vitkin                         ,89.66666667,89
Vivera                         ,89.85714286,89
Vizcarra                       ,89,89
Viña Almirante                 ,89,89
Viña Cartín                    ,89,89
Viña La Ronciere               ,89,89
Viña Olvido                    ,89,89
Viñamada                       ,89,89
Viñas de Garza                 ,89.5,89
Viñas del Cenit                ,89.7,89
Volatus                        ,89.5,89
Vollereaux                     ,89.10526316,89
Von Hövel                      ,89,89
Vriesenhof                     ,89,89
Waipara Hills                  ,89,89
Wakefield                      ,89.47916667,89
Walter Scott                   ,89,89
Waris Hubert                   ,89.5,89
Waterford                      ,89.6,89
Watermill                      ,89.36666667,89
Watershed                      ,89,89
Wegeler                        ,89,89
Weingut Albert Gessinger       ,89.5,89
Weingut Groiss                 ,89,89
Weingut J. Faber               ,89,89
Westwood                       ,89.5,89
Whalebone                      ,89,89
Wharton                        ,89,89
Whetstone                      ,89,89
Whitcraft                      ,89.23076923,89
White Cottage                  ,89,89
White Cottage Ranch            ,89.8,89
White Hart Wine                ,89.2,89
White Rock Vineyards           ,89.4,89
White's Bay                    ,89,89
Whitehall Lane                 ,89.08823529,89
Whitman Cellars                ,89.16666667,89
Willful                        ,89.85714286,89
Willi Haag                     ,89.94117647,89
William Church                 ,89.5952381,89
William Grassie                ,89.09090909,89
William Harrison               ,89.5,89
William Knuttel                ,89.875,89
Windbreak                      ,89,89
Windstream                     ,89.66666667,89
Wines Gone Wild                ,89,89
Winner's Tank                  ,89,89
Wit's End                      ,89.5,89
Woodinville Wine Cellars       ,89.29411765,89
Woodstock Collection           ,89,89
Wrath                          ,89.42222222,89
Y Rousseau                     ,89.06060606,89
Yaffo                          ,89.75,89
Yalumba                        ,89.08064516,89
Yann Alexandre                 ,89,89
Yatir                          ,89.5,89
Yemaserena                     ,89,89
YNOT                           ,89,89
Yohan Lardy                    ,89.18181818,89
Ysios                          ,89.4,89
