winery,avg_score
Château Gruaud Larose          ,92.11111111
Agostino Bosco                 ,92
Alain Graillot                 ,92
Alana Estate                   ,92
Alexandre Monmousseau          ,92
Antiquum Farm                  ,92
Apegadas Quinta Velha          ,92
Atalon                         ,92
Au Bon Climat                  ,92
Bodega Carmen Rodríguez        ,92
Bollinger                      ,92
Brezza                         ,92
Cantina Bartolo Mascarello     ,92
Cantina Luciani                ,92
Cantina Massara Burlotto       ,92
Caparsa                        ,92
Cascabel                       ,92
Cascina Cucco                  ,92
Cascina Cà Rossa               ,92
Casetta Fratelli               ,92
Ceste                          ,92
Chapelle d'Ausone              ,92
Charles Heidsieck              ,92
Charles Heintz                 ,92
Chartogne-Taillet              ,92
Château Beausejour-Duffau-Lagar,92
Château Cadet-Piola            ,92
Château Calon Ségur            ,92
Château Certan                 ,92
Château d'Epire                ,92
Château de Candale             ,92
Château de Tiregand            ,92
Château des Jacques            ,92
Château des Laudes             ,92
Château des Rontets            ,92
Château Devise d'Ardilley      ,92
Château du Breuil              ,92
Château du Coudray Montpensier ,92
Château du Glana               ,92
Château Duhart Milon           ,92
Château Fombrauge              ,92
Château Grand Corbin-Despagne  ,92
Château la Bienfaisance        ,92
Château La Bon Pasteur         ,92
Château la Croix Saint-Georges ,92
Château Lafon Rochet           ,92
Château Le Boscq               ,92
Château le Peyrat              ,92
Château les Tonnelles          ,92
Château Marsau                 ,92
Château Pontac-Lynch           ,92
Château Quintus                ,92
Château Rol Valentin           ,92
Château Rouget                 ,92
Château Suduiraut              ,92
Château Trottevieille          ,92
Château Vannières              ,92
Château Violette               ,92
Citille di Sopra               ,92
Claudio Alario                 ,92
Clos Badon-Thunevin            ,92
Clos du Clocher                ,92
Clos l'Eglise                  ,92
Conclusion                     ,92
Contrade di Taurasi - Lonardo  ,92
Coomber Family Ranch           ,92
Curran                         ,92
Cà La Bionda                   ,92
de Trafford                    ,92
Diego Conterno                 ,92
Domaine Castell Reynoard       ,92
Domaine Corne-Loup             ,92
Domaine d'Eugenie              ,92
Domaine de la Tour du Bon      ,92
Domaine de Val d'Arenc         ,92
Domaine des Croix              ,92
Domaine la Soumade             ,92
Elio Altare                    ,92
Francesco Sobrero              ,92
Fromm Winery                   ,92
G D Vajra                      ,92
Genereaj                       ,92
Gian Piero Marrone             ,92
Gianni Brunelli                ,92
Gibbs                          ,92
Grangehurst                    ,92
Harper Voit                    ,92
Il Bosco di Grazia             ,92
Jasper Sisco                   ,92
Jean-Pierre Large              ,92
Joey Tensley                   ,92
Joh. Jos. Prüm                 ,92
John Forrest Collection        ,92
Kechris                        ,92
Kevin White                    ,92
La Bastide Saint Dominique     ,92
La Grande Côte                 ,92
La Madonna                     ,92
Landmark                       ,92
Langmeil                       ,92
Lantides                       ,92
Larmandier-Bernier             ,92
LaStella                       ,92
Le Macioche                    ,92
Le Petit Cheval                ,92
Leah Jørgensen Cellars         ,92
Love & Squalor                 ,92
Lucatoni                       ,92
Luigi Oddero & Figli           ,92
Mas de Libian                  ,92
Montevetrano                   ,92
Nera                           ,92
Palari                         ,92
Paul Bertrand                  ,92
pb                             ,92
Perrier Jouët                  ,92
Pietroso                       ,92
Podere Brizio Roberto Bellini  ,92
Poggio Antico                  ,92
Point Ormond                   ,92
Reinhold Haart                 ,92
Renaudin                       ,92
Ruinart                        ,92
Scheiblhofer                   ,92
Schloss Johannisberger         ,92
Sodaro                         ,92
Tapteil Vineyard               ,92
Tenuta Monteti                 ,92
Territorial                    ,92
The Drift                      ,92
Valdinera                      ,92
Vie di Romans                  ,92
Viglione Antonio               ,92
Vila da Fonte                  ,92
Villiera                       ,92
Vinícola Hidalgo               ,92
Weinrieder                     ,92
Za Zin                         ,92
Château Mouton Rothschild      ,91.93333333
Domaine des Comtes Lafon       ,91.83333333
Château Talbot                 ,91.8
Francesco Rinaldi              ,91.8
Patrick Javillier              ,91.8
Château la Dominique           ,91.75
Château les Ormes de Pez       ,91.75
Château Nairac                 ,91.75
Dampierre                      ,91.75
Efeste                         ,91.7
Biondi Santi                   ,91.66666667
Ca' del Bosco                  ,91.66666667
Castello del Terriccio         ,91.66666667
Château Belgrave               ,91.66666667
Château la Garde               ,91.66666667
Château le Bon Pasteur         ,91.66666667
Domaine François Lamarche      ,91.66666667
Domaine Méo-Camuzet            ,91.66666667
Etienne le Riche               ,91.66666667
Kaapzicht                      ,91.66666667
Quinta do Vale Meão            ,91.66666667
Rulo                           ,91.66666667
Château de Pez                 ,91.625
Domaine Jean-Paul et Benoît Dro,91.625
Château d'Issan                ,91.6
Domaine Marcel Deiss           ,91.6
Jean Milan                     ,91.6
Sohm & Kracher                 ,91.6
Eichinger                      ,91.59090909
Château Lascombes              ,91.55555556
Andrew Rich                    ,91.5
Aubry                          ,91.5
Bartho Eksteen                 ,91.5
Braida di Giacomo Bologna      ,91.5
Chateau de Pibarnon            ,91.5
Château Clinet                 ,91.5
Château Daugay                 ,91.5
Château Jean-Faure             ,91.5
Château Latour à Pomerol       ,91.5
Cristom                        ,91.5
Domaine Cauhapé                ,91.5
Domaine Vacheron               ,91.5
Domaine Zind-Humbrecht         ,91.5
Fritz Haag                     ,91.5
Hattingley Valley Wines        ,91.5
Jalits                         ,91.5
La Poderina                    ,91.5
Podere Brizio                  ,91.5
Quinta de São José             ,91.5
Quinta do Tedo                 ,91.5
Scubla                         ,91.5
Tarlant                        ,91.5
Tenimenti Angelini             ,91.5
Tulpen                         ,91.5
Château d'Armailhac            ,91.44444444
Château Grand-Puy Ducasse      ,91.44444444
Château Faugères               ,91.42857143
Lamiable                       ,91.42857143
Basilisco                      ,91.4
Château de Fieuzal             ,91.4
Château du Tertre              ,91.4
Château Haut Bages Libéral     ,91.4
Château Marquis de Terme       ,91.4
Château Pibran                 ,91.4
Jurtschitsch                   ,91.4
Rivetto                        ,91.4
Yannick Amirault               ,91.4
Château Carbonnieux            ,91.38461538
Bellavista                     ,91.33333333
Brovia                         ,91.33333333
Château Branas Grand Poujeaux  ,91.33333333
Château Chasse-Spleen          ,91.33333333
Château Larcis Ducasse         ,91.33333333
Dow's                          ,91.33333333
Germano Ettore                 ,91.33333333
Grimaldi Bruna                 ,91.33333333
La Mannella                    ,91.33333333
Le Fraghe                      ,91.33333333
Château Prieuré-Lichine        ,91.28571429
Château Malescot Saint-Exupery ,91.25
Château Moulin Saint-Georges   ,91.25
Château Quinault L'Enclos      ,91.25
Elio Grasso                    ,91.25
Gianfranco Alessandria         ,91.25
Le Carré                       ,91.25
Provam                         ,91.25
Hirsch                         ,91.23076923
Château Dutruch Grand Poujeaux ,91.2
Château Filhot                 ,91.2
Pierre Henri Morel             ,91.2
Domaine Laleure-Piot           ,91.16666667
Château de France              ,91.14285714
Hiedler                        ,91.14285714
Château Couhins                ,91.125
Poeira                         ,91.09090909
Aigner                         ,91
Allram                         ,91
Amavi                          ,91
Anselma                        ,91
Ant Moore                      ,91
Antinori                       ,91
Ataíde Semedo                  ,91
Ayala                          ,91
B Vintners                     ,91
Balnaves of Coonawarra         ,91
Berryhill                      ,91
Bestheim                       ,91
Bin 36                         ,91
Bolsignano                     ,91
Bonnet-Huteau                  ,91
Borgogno                       ,91
Brick & Mortar                 ,91
Broadley                       ,91
Calstar Cellars                ,91
Cantine Gemma                  ,91
Capanne Ricci                  ,91
Cascina La Barbatella          ,91
Cascina Luisin                 ,91
Castello di Fonterutoli        ,91
Castiglion del Bosco           ,91
Cedarville Vineyard            ,91
Ceretto                        ,91
Chateau La Tour Carnet         ,91
Château Alcée                  ,91
Château Belle-Vue              ,91
Château Bellevue-Mondotte      ,91
Château Bois Malot             ,91
Château Capbern Gasqueton      ,91
Château Cône-Taillasson Sabouri,91
Château de Lavernette          ,91
Château de Malengin            ,91
Château de Malleret            ,91
Château Duplessis              ,91
Château Ferrière               ,91
Château Franc Cardinal         ,91
Château Gazin                  ,91
Château Grand-Puy Lacoste      ,91
Château Haut Dina              ,91
Château Haut Grand Champ       ,91
Château Joanin Bécot           ,91
Château la Louvière            ,91
Château Lafon-Rochet           ,91
Château Lamarque               ,91
Château Léoube                 ,91
Château Marbuzet               ,91
Château Marquis d'Alesme       ,91
Château Maylandie              ,91
Château Moulin de la Rose      ,91
Château Poujeaux               ,91
Château Rabaud-Promis          ,91
Château Saint Esteve d'Uchaux  ,91
Château Simon                  ,91
Château Sérilhan               ,91
Château Tertre de Belvès       ,91
Château Tour du Pin            ,91
Château Vieux Maillet          ,91
Château Vieux Robin            ,91
Château Vray Croix de Gay      ,91
Claude Lafond                  ,91
Clone 7                        ,91
Clos des Jacobins              ,91
Clos du Canton des Ormeaux     ,91
Clos la Coutale                ,91
Clos Magdelaine                ,91
Clos Ventana                   ,91
Clunia                         ,91
Col Solare                     ,91
Colin                          ,91
Contour                        ,91
Cornarea                       ,91
Crauford                       ,91
Cà dei Frati                   ,91
D'Angelo                       ,91
Domaine Capmartin              ,91
Domaine Chatelain              ,91
Domaine de Courcel             ,91
Domaine de la Bastide Blanche  ,91
Domaine de la Vougeraie        ,91
Domaine de Terrebrune          ,91
Domaine de Vodanis             ,91
Domaine Jean Sipp              ,91
Domaine l'Ancienne Cure        ,91
