,country,points,price,title,winery
14187,Switzerland,90,30.0,Robert Gilliard 2012 Dôle des Monts Pinot Noir-Gamay (Valais),Robert Gilliard
83632,Switzerland,90,28.0,Robert Gilliard 2012 Les Murettes Chasselas (Valais),Robert Gilliard
129280,Switzerland,90,21.0,Château d'Auvernier 2012 White (Neuchâtel),Château d'Auvernier
21791,Switzerland,89,160.0,Gantenbein 2011 Pinot Noir (Switzerland),Gantenbein
32423,Switzerland,89,160.0,Gantenbein 2012 Pinot Noir (Switzerland),Gantenbein
81814,Switzerland,89,160.0,Gantenbein 2012 Pinot Noir (Switzerland),Gantenbein
50589,Switzerland,83,38.0,Delea 2004 Carato Merlot (Ticino),Delea
