variety,year,price,points,priceq
AntĂŁo Vaz                ,2009,20.0,90,2.0
AntĂŁo Vaz                ,2012,19.4,88,1.0
AntĂŁo Vaz                ,2013,20.0,88,2.0
AntĂŁo Vaz                ,2014,24.6666666667,87,3.0
AntĂŁo Vaz                ,2015,17.3333333333,86,1.0
AntĂŁo Vaz                ,2016,19.0,87,1.0
Apple                     ,-1,29.0,89,3.0
Aragonez                  ,2009,18.5,87,1.0
Aragonez                  ,2010,,88,
Aragonez                  ,2011,10.0,85,0.0
Aragonez                  ,2012,24.0,89,3.0
Aragonez                  ,2013,35.0,88,4.0
AragonĂŞs                 ,2004,,89,
AragonĂŞs                 ,2005,19.6666666667,87,2.0
AragonĂŞs                 ,2007,50.0,88,5.0
AragonĂŞs                 ,2008,70.0,90,5.0
AragonĂŞs                 ,2013,14.0,91,0.0
AragonĂŞs                 ,2014,14.0,89,0.0
Argaman                   ,2006,36.0,88,4.0
Argaman                   ,2009,38.0,86,4.0
Argaman                   ,2014,48.0,91,5.0
Arinto                    ,-1,16.6666666667,85,1.0
Arinto                    ,2001,7.0,83,0.0
Arinto                    ,2004,,88,
Arinto                    ,2005,14.0,92,0.0
Arinto                    ,2007,10.0,87,0.0
Arinto                    ,2008,,86,
Arinto                    ,2010,15.75,86,1.0
Arinto                    ,2011,16.5,87,1.0
Arinto                    ,2012,22.7,88,2.0
Arinto                    ,2013,18.75,87,1.0
Arinto                    ,2014,12.153846153800002,86,0.0
Arinto                    ,2015,13.4444444444,85,0.0
Arinto                    ,2016,13.8888888889,87,0.0
Arneis                    ,2006,16.5,84,1.0
Arneis                    ,2007,24.3333333333,85,3.0
Arneis                    ,2008,19.6666666667,86,2.0
Arneis                    ,2009,20.75,86,2.0
Arneis                    ,2010,25.2,87,3.0
Arneis                    ,2011,20.2,86,2.0
Arneis                    ,2012,22.375,88,2.0
Arneis                    ,2013,27.25,88,3.0
Arneis                    ,2014,20.9166666667,87,2.0
Arneis                    ,2015,19.0666666667,87,1.0
Arneis                    ,2016,21.0,92,2.0
Asprinio                  ,-1,,85,
Asprinio                  ,2007,,83,
Asprinio                  ,2012,15.0,84,0.0
Assyrtico                 ,2006,29.0,85,3.0
Assyrtico                 ,2007,28.0,85,3.0
Assyrtico                 ,2008,19.5,86,1.0
Assyrtico                 ,2009,35.0,87,4.0
Assyrtico                 ,2010,26.1,88,3.0
Assyrtico                 ,2011,13.6,87,0.0
Assyrtico                 ,2012,25.6666666667,88,3.0
Assyrtico                 ,2013,27.4,88,3.0
Assyrtico                 ,2014,21.714285714299997,89,2.0
Assyrtico                 ,2015,22.75,90,2.0
Assyrtiko                 ,2011,20.0,89,2.0
Assyrtiko                 ,2013,22.3333333333,88,2.0
Assyrtiko                 ,2014,31.4,89,4.0
Assyrtiko                 ,2015,18.1428571429,89,1.0
Assyrtiko                 ,2016,20.5,87,2.0
Athiri                    ,2008,18.0,83,1.0
Austrian Red Blend        ,2006,49.0,89,5.0
Austrian Red Blend        ,2007,34.1428571429,90,4.0
Austrian Red Blend        ,2008,45.0,89,5.0
Austrian Red Blend        ,2009,41.5,89,5.0
Austrian Red Blend        ,2010,17.3333333333,85,1.0
Austrian Red Blend        ,2011,39.3125,89,4.0
Austrian Red Blend        ,2012,23.0,88,2.0
Austrian Red Blend        ,2013,40.0,92,4.0
Austrian Red Blend        ,2014,28.0,90,3.0
Austrian Red Blend        ,2015,15.0,90,0.0
Austrian white blend      ,-1,33.5,91,4.0
Austrian white blend      ,1983,110.0,89,5.0
Austrian white blend      ,2006,,88,
Austrian white blend      ,2008,40.0,91,4.0
Austrian white blend      ,2009,37.75,90,4.0
Austrian white blend      ,2010,,91,
Austrian white blend      ,2011,23.875,89,2.0
Austrian white blend      ,2012,27.375,89,3.0
Austrian white blend      ,2013,39.8461538462,90,4.0
Austrian white blend      ,2014,32.5555555556,90,4.0
Austrian white blend      ,2015,23.8333333333,91,2.0
Austrian white blend      ,2016,21.6666666667,90,2.0
Auxerrois                 ,-1,17.5,88,1.0
Auxerrois                 ,2009,22.0,89,2.0
Auxerrois                 ,2010,22.0,90,2.0
Auxerrois                 ,2011,21.0,88,2.0
Auxerrois                 ,2012,22.0,88,2.0
Auxerrois                 ,2013,19.6666666667,88,2.0
Auxerrois                 ,2014,23.0,88,2.0
Auxerrois                 ,2015,26.75,89,3.0
Auxerrois                 ,2016,22.0,90,2.0
Avesso                    ,2011,16.0,88,1.0
Avesso                    ,2012,15.0,89,0.0
Avesso                    ,2013,21.0,87,2.0
Avesso                    ,2015,12.0,88,0.0
Avesso                    ,2016,13.0,88,0.0
Azal                      ,2010,13.0,87,0.0
