variety,year,price,points
Arneis                    ,2007,24.3333333333,85
Arneis                    ,2008,19.6666666667,86
Arneis                    ,2009,20.75,86
Arneis                    ,2010,25.2,87
Arneis                    ,2011,20.2,86
Arneis                    ,2012,22.375,88
Arneis                    ,2013,27.25,88
Arneis                    ,2014,20.9166666667,87
Arneis                    ,2015,19.0666666667,87
Arneis                    ,2016,21.0,92
Asprinio                  ,-1,,85
Asprinio                  ,2007,,83
Asprinio                  ,2012,15.0,84
Assyrtico                 ,2006,29.0,85
Assyrtico                 ,2007,28.0,85
Assyrtico                 ,2008,19.5,86
Assyrtico                 ,2009,35.0,87
Assyrtico                 ,2010,26.1,88
Assyrtico                 ,2011,13.6,87
Assyrtico                 ,2012,25.6666666667,88
Assyrtico                 ,2013,27.4,88
Assyrtico                 ,2014,21.7142857143,89
Assyrtico                 ,2015,22.75,90
Assyrtiko                 ,2011,20.0,89
Assyrtiko                 ,2013,22.3333333333,88
Assyrtiko                 ,2014,31.4,89
Assyrtiko                 ,2015,18.1428571429,89
Assyrtiko                 ,2016,20.5,87
Athiri                    ,2008,18.0,83
Austrian Red Blend        ,2006,49.0,89
Austrian Red Blend        ,2007,34.1428571429,90
Austrian Red Blend        ,2008,45.0,89
Austrian Red Blend        ,2009,41.5,89
Austrian Red Blend        ,2010,17.3333333333,85
Austrian Red Blend        ,2011,39.3125,89
Austrian Red Blend        ,2012,23.0,88
Austrian Red Blend        ,2013,40.0,92
Austrian Red Blend        ,2014,28.0,90
Austrian Red Blend        ,2015,15.0,90
Austrian white blend      ,-1,33.5,91
Austrian white blend      ,1983,110.0,89
Austrian white blend      ,2006,,88
Austrian white blend      ,2008,40.0,91
Austrian white blend      ,2009,37.75,90
Austrian white blend      ,2010,,91
Austrian white blend      ,2011,23.875,89
Austrian white blend      ,2012,27.375,89
Austrian white blend      ,2013,39.8461538462,90
Austrian white blend      ,2014,32.5555555556,90
Austrian white blend      ,2015,23.8333333333,91
Austrian white blend      ,2016,21.6666666667,90
Auxerrois                 ,-1,17.5,88
Auxerrois                 ,2009,22.0,89
Auxerrois                 ,2010,22.0,90
Auxerrois                 ,2011,21.0,88
Auxerrois                 ,2012,22.0,88
Auxerrois                 ,2013,19.6666666667,88
Auxerrois                 ,2014,23.0,88
Auxerrois                 ,2015,26.75,89
Auxerrois                 ,2016,22.0,90
Avesso                    ,2011,16.0,88
Avesso                    ,2012,15.0,89
Avesso                    ,2013,21.0,87
