variety,year,price,points
Edelzwicker               ,2012,16.0,86
Edelzwicker               ,2014,16.0,89
Edelzwicker               ,2015,23.5,90
Ekigaïna                 ,2014,,85
Elbling                   ,2013,16.0,86
Elbling                   ,2014,16.0,88
Emir                      ,2013,15.0,88
Emir                      ,2014,15.0,87
Emir                      ,2015,19.0,85
Encruzado                 ,2009,15.0,90
Encruzado                 ,2010,,86
Encruzado                 ,2011,16.0,91
Encruzado                 ,2012,35.0,90
Encruzado                 ,2013,25.3333333333,91
Encruzado                 ,2014,30.3333333333,89
Encruzado                 ,2015,18.4285714286,88
Encruzado                 ,2016,16.0,88
Erbaluce                  ,2009,35.0,88
Erbaluce                  ,2015,16.0,88
Espadeiro                 ,2011,,84
Falanghina                ,-1,31.4,88
Falanghina                ,2005,18.0,86
Falanghina                ,2006,24.75,87
Falanghina                ,2007,18.7777777778,85
Falanghina                ,2008,25.0,88
Falanghina                ,2009,21.2222222222,86
Falanghina                ,2010,15.0,87
Falanghina                ,2011,19.1428571429,87
Falanghina                ,2012,23.1666666667,88
Falanghina                ,2013,22.6666666667,87
Falanghina                ,2014,17.5,87
Falanghina                ,2015,18.8888888889,88
Falanghina                ,2016,17.0,88
Favorita                  ,2014,40.0,90
Fer Servadou              ,2015,16.5,87
Fernão Pires             ,-1,16.5,86
Fernão Pires             ,2006,12.0,88
Fernão Pires             ,2007,10.0,84
Fernão Pires             ,2008,11.0,87
Fernão Pires             ,2009,22.0,87
Fernão Pires             ,2010,35.5,87
Fernão Pires             ,2011,27.5,91
Fernão Pires             ,2012,,90
Fernão Pires             ,2013,38.0,86
Fernão Pires             ,2014,13.5,87
Fernão Pires             ,2015,30.0,88
Fernão Pires             ,2016,20.3333333333,85
Feteasca                  ,2013,17.5,87
Feteasca Neagra           ,2009,11.0,86
Feteasca Neagra           ,2010,17.6666666667,88
Feteasca Neagra           ,2011,11.0,87
Feteasca Neagra           ,2012,20.0,88
Feteasca Neagra           ,2013,12.0,88
Feteascǎ Regalǎ         ,2010,7.0,87
Feteascǎ Regalǎ         ,2011,11.5,87
Feteascǎ Regalǎ         ,2014,11.0,87
Feteascǎ Regalǎ         ,2016,9.0,85
Fiano                     ,-1,20.0,82
Fiano                     ,1860,30.8571428571,88
Fiano                     ,2003,56.0,89
Fiano                     ,2005,26.0,88
Fiano                     ,2006,26.3333333333,88
Fiano                     ,2007,26.9230769231,86
Fiano                     ,2008,32.5,88
Fiano                     ,2009,23.6,87
Fiano                     ,2010,24.7142857143,86
Fiano                     ,2011,27.5384615385,87
Fiano                     ,2012,26.6551724138,88
Fiano                     ,2013,27.9230769231,89
Fiano                     ,2014,42.1428571429,89
Fiano                     ,2015,23.1666666667,88
Fiano                     ,2016,21.6666666667,87
Folle Blanche             ,2015,16.0,85
Forcallà                 ,2013,27.0,83
Francisa                  ,2011,160.0,91
Franconia                 ,2007,16.0,86
Frankovka                 ,2012,24.0,88
Frappato                  ,-1,16.3333333333,86
Frappato                  ,2006,20.0,85
Frappato                  ,2007,23.0,86
Frappato                  ,2008,22.0,85
Frappato                  ,2009,22.3333333333,85
Frappato                  ,2010,28.0,88
Frappato                  ,2011,18.0,87
Frappato                  ,2012,25.0,88
Frappato                  ,2013,24.8888888889,87
Frappato                  ,2014,19.8,89
Frappato                  ,2015,21.0,90
Frappato                  ,2016,24.0,90
Freisa                    ,2010,20.0,86
Freisa                    ,2011,22.0,87
Friulano                  ,2006,24.0,87
Friulano                  ,2007,21.3,86
Friulano                  ,2008,57.6666666667,88
Friulano                  ,2009,22.6666666667,87
Friulano                  ,2010,23.2,87
Friulano                  ,2011,24.3333333333,88
Friulano                  ,2012,24.375,89
Friulano                  ,2013,22.4583333333,88
Friulano                  ,2014,22.0769230769,87
Friulano                  ,2015,23.5294117647,89
Früburgunder             ,2013,40.0,90
Fumé Blanc               ,1998,23.0,88
Fumé Blanc               ,1999,15.6666666667,86
Fumé Blanc               ,2000,17.5,86
Fumé Blanc               ,2001,12.6,85
Fumé Blanc               ,2002,15.0,85
Fumé Blanc               ,2006,20.4,86
Fumé Blanc               ,2007,15.0,87
Fumé Blanc               ,2008,18.6666666667,89
Fumé Blanc               ,2009,37.25,90
Fumé Blanc               ,2010,35.0,89
Fumé Blanc               ,2011,23.5,89
Fumé Blanc               ,2012,26.5,86
Fumé Blanc               ,2013,28.2857142857,88
Fumé Blanc               ,2014,23.0,88
Fumé Blanc               ,2015,22.3333333333,90
Fumé Blanc               ,2016,14.6666666667,87
Furmint                   ,2001,25.0,84
Furmint                   ,2003,764.0,94
Furmint                   ,2005,320.0,96
Furmint                   ,2006,45.0,88
Furmint                   ,2007,46.0,92
Furmint                   ,2009,20.0,83
Furmint                   ,2010,20.0,88
Furmint                   ,2011,26.3333333333,90
Furmint                   ,2012,32.0,90
Furmint                   ,2013,23.4,89
Furmint                   ,2014,21.3333333333,90
Furmint                   ,2015,24.25,89
Furmint                   ,2016,15.0,90
G-S-M                     ,2005,32.5,88
G-S-M                     ,2006,31.6666666667,86
G-S-M                     ,2007,27.8,87
G-S-M                     ,2008,41.0,88
G-S-M                     ,2009,30.1875,87
G-S-M                     ,2010,37.0,87
G-S-M                     ,2011,32.64,89
G-S-M                     ,2012,37.1290322581,90
G-S-M                     ,2013,34.5161290323,89
G-S-M                     ,2014,36.9565217391,88
G-S-M                     ,2015,34.2857142857,88
G-S-M                     ,2016,13.0,87
Gaglioppo                 ,1845,37.3333333333,86
Gaglioppo                 ,2006,18.0,87
Gaglioppo                 ,2007,14.0,86
Gaglioppo                 ,2009,,87
Gaglioppo                 ,2011,20.0,91
Gaglioppo                 ,2012,25.0,82
Gaglioppo                 ,2013,14.0,86
Gaglioppo                 ,2014,19.0,87
Gamay                     ,-1,22.75,86
Gamay                     ,2000,,82
Gamay                     ,2005,24.0,89
Gamay                     ,2006,23.2222222222,89
Gamay                     ,2007,20.0,87
Gamay                     ,2008,14.7142857143,86
Gamay                     ,2009,19.4571428571,88
Gamay                     ,2010,19.4912280702,88
Gamay                     ,2011,17.8720930233,87
Gamay                     ,2012,21.5757575758,87
Gamay                     ,2013,20.606741573,87
Gamay                     ,2014,20.9613259669,88
Gamay                     ,2015,21.8913857678,88
Gamay                     ,2016,18.5454545455,87
Gamay Noir                ,2006,18.5,87
Gamay Noir                ,2007,25.0,88
Gamay Noir                ,2010,24.0,85
Gamay Noir                ,2011,21.5,86
Gamay Noir                ,2012,24.75,88
Gamay Noir                ,2013,24.6666666667,88
Gamay Noir                ,2014,25.0,87
Gamay Noir                ,2015,20.3333333333,88
Gamay Noir                ,2016,18.0,88
Gamza                     ,2015,11.0,89
Garganega                 ,-1,25.0,87
Garganega                 ,1999,18.0,90
Garganega                 ,2001,11.0,88
Garganega                 ,2002,11.0,86
Garganega                 ,2004,55.0,92
Garganega                 ,2005,39.0,90
Garganega                 ,2006,15.0,87
Garganega                 ,2007,26.0714285714,88
Garganega                 ,2008,28.2727272727,88
Garganega                 ,2009,33.0,88
Garganega                 ,2010,17.4444444444,87
Garganega                 ,2011,19.95,86
Garganega                 ,2012,20.92,87
Garganega                 ,2013,19.8095238095,88
Garganega                 ,2014,20.6363636364,87
Garganega                 ,2015,17.7368421053,87
Garganega                 ,2016,13.7692307692,86
Garnacha                  ,-1,10.4,83
Garnacha                  ,1898,12.0,81
Garnacha                  ,2001,7.5,85
Garnacha                  ,2004,18.0,87
Garnacha                  ,2005,24.5,85
Garnacha                  ,2006,37.875,85
Garnacha                  ,2007,19.0666666667,86
Garnacha                  ,2008,22.1666666667,85
Garnacha                  ,2009,22.9642857143,86
Garnacha                  ,2010,21.5111111111,85
Garnacha                  ,2011,23.8636363636,86
Garnacha                  ,2012,21.3023255814,86
Garnacha                  ,2013,34.1388888889,85
Garnacha                  ,2014,27.15625,86
Garnacha                  ,2015,13.53125,86
Garnacha                  ,2016,10.0,86
Garnacha Blanca           ,2007,40.0,88
Garnacha Blanca           ,2009,15.0,88
Garnacha Blanca           ,2010,15.0,84
Garnacha Blanca           ,2011,25.1428571429,86
Garnacha Blanca           ,2012,20.5555555556,86
Garnacha Blanca           ,2013,12.0,85
Garnacha Blanca           ,2014,17.5,87
Garnacha Blanca           ,2015,13.4,84
Garnacha Blanca           ,2016,18.0,88
Garnacha Blend            ,2006,28.0,89
Garnacha Blend            ,2014,10.0,86
Garnacha Tintorera        ,2011,13.0,88
Garnacha Tintorera        ,2012,24.0,88
Garnacha Tintorera        ,2013,10.5,85
Garnacha Tintorera        ,2014,15.0,84
Garnacha-Cabernet         ,2015,13.0,85
Garnacha-Cariñena        ,2001,57.0,93
Garnacha-Monastrell       ,2010,11.6666666667,87
Garnacha-Syrah            ,2008,17.0,86
Garnacha-Syrah            ,2010,8.0,83
Garnacha-Syrah            ,2011,13.5,85
Garnacha-Syrah            ,2013,12.5,82
Garnacha-Syrah            ,2014,17.0,86
Garnacha-Syrah            ,2015,11.0,84
Garnacha-Tempranillo      ,2011,11.0,87
Garnacha-Tempranillo      ,2012,10.0,87
Garnacha-Tempranillo      ,2014,8.0,85
Garnacha-Tempranillo      ,2015,13.5,86
Gelber Muskateller        ,-1,,86
Gelber Muskateller        ,2006,99.0,92
Gelber Muskateller        ,2009,23.0,89
Gelber Muskateller        ,2011,31.5,88
Gelber Muskateller        ,2012,18.5,87
Gelber Muskateller        ,2013,19.0,90
Gelber Muskateller        ,2014,22.1428571429,88
Gelber Muskateller        ,2015,21.5,88
Gelber Muskateller        ,2016,21.4,90
Gelber Traminer           ,2009,35.0,95
Gewürztraminer           ,-1,14.3333333333,86
Gewürztraminer           ,1852,14.75,86
Gewürztraminer           ,1998,11.3333333333,85
Gewürztraminer           ,1999,14.0,86
Gewürztraminer           ,2001,36.75,88
Gewürztraminer           ,2002,19.6666666667,86
Gewürztraminer           ,2003,18.0,87
Gewürztraminer           ,2004,28.5,89
Gewürztraminer           ,2005,17.3333333333,86
Gewürztraminer           ,2006,21.1666666667,87
Gewürztraminer           ,2007,26.25,87
Gewürztraminer           ,2008,23.5227272727,87
Gewürztraminer           ,2009,27.8653846154,88
Gewürztraminer           ,2010,25.8421052632,88
Gewürztraminer           ,2011,27.5243902439,88
Gewürztraminer           ,2012,27.8,88
Gewürztraminer           ,2013,29.3758389262,88
Gewürztraminer           ,2014,23.368,89
Gewürztraminer           ,2015,27.6641791045,89
Gewürztraminer           ,2016,21.56,89
Gewürztraminer-Riesling  ,2000,11.0,88
Gewürztraminer-Riesling  ,2004,12.0,83
Gewürztraminer-Riesling  ,2009,60.0,91
Gewürztraminer-Riesling  ,2011,15.0,88
Gewürztraminer-Riesling  ,2012,25.0,86
Gewürztraminer-Riesling  ,2013,21.5,85
Glera                     ,-1,18.2068965517,86
Glera                     ,1821,14.5,85
Glera                     ,1868,,89
Glera                     ,2009,29.4285714286,87
Glera                     ,2010,18.7407407407,86
Glera                     ,2011,19.0,86
Glera                     ,2012,20.8055555556,87
Glera                     ,2013,26.5454545455,89
Glera                     ,2014,25.3793103448,88
Glera                     ,2015,29.5714285714,89
Glera                     ,2016,22.4347826087,88
Godello                   ,2006,27.0,87
Godello                   ,2007,29.0,86
Godello                   ,2008,28.2,87
Godello                   ,2009,16.1666666667,86
Godello                   ,2010,20.25,87
Godello                   ,2011,28.9166666667,86
Godello                   ,2012,18.3333333333,86
Godello                   ,2013,21.2666666667,85
Godello                   ,2014,19.8888888889,87
Godello                   ,2015,21.0666666667,88
Gouveio                   ,2007,26.0,89
Gouveio                   ,2008,19.0,88
Graciano                  ,2004,91.5,89
Graciano                  ,2005,121.0,86
Graciano                  ,2006,115.0,88
Graciano                  ,2007,20.0,82
Graciano                  ,2008,54.0,88
Graciano                  ,2009,50.2857142857,89
Graciano                  ,2010,30.0,88
Graciano                  ,2011,38.3,88
Graciano                  ,2012,23.0,89
Graciano                  ,2013,46.0,90
Graciano                  ,2014,35.0,88
Graciano                  ,2015,15.0,84
Gragnano                  ,2007,17.0,84
Gragnano                  ,2009,16.0,81
Grauburgunder             ,2006,39.5,89
Grauburgunder             ,2011,,90
Grauburgunder             ,2012,20.0,90
Grauburgunder             ,2013,22.25,88
Grauburgunder             ,2014,20.0,87
Grauburgunder             ,2015,24.0,89
Grauburgunder             ,2016,23.5,91
Graševina                ,2015,20.0,89
Grecanico                 ,2007,13.5,86
Grecanico                 ,2010,19.0,86
Grecanico                 ,2011,29.0,88
Grecanico                 ,2014,25.0,89
Grechetto                 ,2004,20.0,90
Grechetto                 ,2005,20.0,86
Grechetto                 ,2006,16.5,86
Grechetto                 ,2008,,86
Grechetto                 ,2009,16.0,85
Grechetto                 ,2010,,86
Grechetto                 ,2011,20.0,88
Grechetto                 ,2012,17.0,88
Grechetto                 ,2014,18.0,88
Grechetto                 ,2015,12.5,86
Greco                     ,-1,48.0,89
Greco                     ,2005,20.3333333333,88
Greco                     ,2006,25.125,86
Greco                     ,2007,26.9333333333,87
Greco                     ,2008,13.0,84
Greco                     ,2009,27.5,88
Greco                     ,2010,20.0,87
Greco                     ,2011,29.1818181818,88
Greco                     ,2012,23.3157894737,88
Greco                     ,2013,33.8,90
Greco                     ,2014,35.1428571429,89
Greco                     ,2015,23.4583333333,88
Greco                     ,2016,20.2,88
Greco Bianco              ,2007,21.0,85
Greco Bianco              ,2009,,87
Greco Bianco              ,2013,12.0,87
Greco Bianco              ,2016,,86
Grenache                  ,-1,18.6,86
Grenache                  ,1998,21.0,83
Grenache                  ,1999,18.0,89
Grenache                  ,2000,16.1666666667,86
Grenache                  ,2001,26.0,89
Grenache                  ,2002,19.0,87
Grenache                  ,2003,,90
Grenache                  ,2004,34.5,87
Grenache                  ,2005,43.2631578947,87
Grenache                  ,2006,31.5625,86
Grenache                  ,2007,30.5666666667,87
Grenache                  ,2008,39.1935483871,88
Grenache                  ,2009,34.7954545455,87
Grenache                  ,2010,35.4523809524,87
Grenache                  ,2011,35.4137931034,89
Grenache                  ,2012,37.8953488372,89
Grenache                  ,2013,38.1785714286,89
Grenache                  ,2014,37.1649484536,89
Grenache                  ,2015,34.9666666667,90
Grenache                  ,2016,23.25,89
Grenache Blanc            ,1996,36.0,93
Grenache Blanc            ,1999,35.0,90
Grenache Blanc            ,2006,27.0,85
Grenache Blanc            ,2008,24.3333333333,90
Grenache Blanc            ,2009,19.8333333333,87
Grenache Blanc            ,2010,23.625,88
Grenache Blanc            ,2011,23.25,88
Grenache Blanc            ,2012,23.9285714286,87
Grenache Blanc            ,2013,25.3888888889,88
Grenache Blanc            ,2014,26.0434782609,89
Grenache Blanc            ,2015,25.9230769231,89
Grenache Blanc            ,2016,25.5263157895,89
Grenache Blend            ,2008,15.0,83
Grenache Blend            ,2009,12.0,85
Grenache Blend            ,2010,29.5,86
Grenache Blend            ,2011,44.5,90
Grenache Blend            ,2012,23.0,88
Grenache Blend            ,2013,9.6666666667,85
Grenache Gris             ,2014,22.0,87
Grenache Noir             ,2013,36.0,91
Grenache Noir             ,2016,24.5,88
Grenache-Carignan         ,2009,32.6666666667,89
Grenache-Carignan         ,2010,36.5,90
Grenache-Carignan         ,2011,23.1666666667,89
Grenache-Carignan         ,2013,26.6666666667,91
Grenache-Carignan         ,2014,23.0,86
Grenache-Carignan         ,2015,30.0,91
Grenache-Mourvèdre       ,2008,38.0,84
Grenache-Mourvèdre       ,2010,25.0,87
Grenache-Mourvèdre       ,2011,25.3333333333,88
Grenache-Mourvèdre       ,2013,60.0,92
Grenache-Shiraz           ,2005,20.0,87
Grenache-Shiraz           ,2007,12.0,85
Grenache-Shiraz           ,2012,35.0,90
Grenache-Syrah            ,2005,24.0,91
Grenache-Syrah            ,2007,32.0,85
Grenache-Syrah            ,2008,20.0,86
Grenache-Syrah            ,2009,29.4,88
Grenache-Syrah            ,2010,34.7142857143,88
Grenache-Syrah            ,2011,42.4,89
Grenache-Syrah            ,2012,29.5384615385,90
Grenache-Syrah            ,2013,29.8333333333,89
Grenache-Syrah            ,2014,33.0,88
Grenache-Syrah            ,2016,12.0,87
Grignolino                ,2008,17.0,85
Grignolino                ,2009,,87
Grillo                    ,-1,22.0,88
Grillo                    ,1875,9.0,85
Grillo                    ,2000,18.0,86
Grillo                    ,2001,25.0,89
Grillo                    ,2002,25.0,89
Grillo                    ,2006,30.0,93
Grillo                    ,2007,16.0,86
Grillo                    ,2008,16.5,86
Grillo                    ,2009,13.6666666667,85
Grillo                    ,2010,17.5833333333,85
Grillo                    ,2011,19.1875,86
Grillo                    ,2012,26.75,87
Grillo                    ,2013,17.3636363636,86
Grillo                    ,2014,17.5,88
Grillo                    ,2015,18.1818181818,87
Grillo                    ,2016,15.25,86
Grolleau                  ,2009,10.0,82
Grolleau                  ,2014,54.0,90
Groppello                 ,2008,23.0,87
Gros and Petit Manseng    ,2005,30.0,90
Gros and Petit Manseng    ,2009,26.0,92
Gros and Petit Manseng    ,2010,18.0,89
Gros and Petit Manseng    ,2011,22.6,89
Gros and Petit Manseng    ,2012,24.75,91
Gros and Petit Manseng    ,2013,27.0,90
Gros and Petit Manseng    ,2014,18.1666666667,89
Gros and Petit Manseng    ,2015,19.5,89
Gros and Petit Manseng    ,2016,18.0,88
Gros Manseng              ,2006,18.0,90
Gros Manseng              ,2007,25.0,89
Gros Manseng              ,2008,25.0,89
Gros Manseng              ,2009,26.0,92
Gros Manseng              ,2010,21.0,87
Gros Manseng              ,2011,13.0,86
Gros Manseng              ,2012,15.0,87
Gros Manseng              ,2014,15.5,90
Gros Manseng              ,2015,18.4285714286,87
Gros Manseng              ,2016,16.0,89
Gros Plant                ,2016,16.0,86
Grüner Veltliner         ,-1,17.6666666667,89
Grüner Veltliner         ,1852,16.3333333333,88
Grüner Veltliner         ,2003,20.0,84
Grüner Veltliner         ,2004,65.0,89
Grüner Veltliner         ,2005,35.0,91
Grüner Veltliner         ,2006,37.1944444444,89
Grüner Veltliner         ,2007,26.4464285714,88
Grüner Veltliner         ,2008,29.0,89
Grüner Veltliner         ,2009,24.1875,88
Grüner Veltliner         ,2010,31.9259259259,89
Grüner Veltliner         ,2011,25.2,89
Grüner Veltliner         ,2012,27.308411215,89
Grüner Veltliner         ,2013,34.7096774194,90
Grüner Veltliner         ,2014,27.9468085106,90
Grüner Veltliner         ,2015,26.3103448276,90
Grüner Veltliner         ,2016,19.0542635659,89
Hondarrabi Zuri           ,2007,12.0,84
Hondarrabi Zuri           ,2011,21.0,87
Hondarrabi Zuri           ,2013,24.5,87
Hondarrabi Zuri           ,2014,22.8,88
Hondarrabi Zuri           ,2015,20.3333333333,85
Hondarrabi Zuri           ,2016,20.5,84
Hárslevelü              ,2013,26.0,90
Hárslevelü              ,2015,30.0,89
Incrocio Manzoni          ,2011,25.0,88
Incrocio Manzoni          ,2012,24.0,87
Incrocio Manzoni          ,2013,30.0,89
Insolia                   ,2007,16.0,86
Insolia                   ,2008,17.0,85
Insolia                   ,2009,,84
Insolia                   ,2010,17.2,86
Insolia                   ,2011,15.4,87
Insolia                   ,2012,17.0,87
Insolia                   ,2013,18.5,87
Inzolia                   ,2007,19.5,86
Inzolia                   ,2008,15.0,86
Inzolia                   ,2009,14.0,85
Inzolia                   ,2010,15.75,86
Inzolia                   ,2011,12.2,85
Inzolia                   ,2012,8.0,84
Inzolia                   ,2013,14.0,85
Inzolia                   ,2015,16.2,86
Inzolia                   ,2016,13.0,87
Irsai Oliver              ,2011,13.0,87
Jacquez                   ,2009,40.0,82
Jacquez                   ,2010,23.0,86
Jacquez                   ,2011,40.0,87
Jacquère                 ,2012,17.0,88
Jacquère                 ,2013,16.0,87
Jacquère                 ,2014,18.5,87
Jacquère                 ,2015,16.7,87
Jacquère                 ,2016,16.75,87
Jaen                      ,2007,32.0,92
Jaen                      ,2009,32.0,93
Jaen                      ,2010,32.0,93
Jaen                      ,2012,35.0,87
Jaen                      ,2013,27.5,87
Jampal                    ,2014,25.0,88
Johannisberg Riesling     ,2001,8.0,87
Johannisberg Riesling     ,2002,10.3333333333,84
Johannisberg Riesling     ,2011,,85
Kadarka                   ,2013,28.0,89
Kadarka                   ,2015,20.0,87
Kalecik Karasi            ,2009,40.0,90
Kalecik Karasi            ,2011,27.6666666667,89
Kalecik Karasi            ,2012,21.0,89
Kalecik Karasi            ,2013,21.0,89
Kalecik Karasi            ,2014,28.3333333333,90
Kalecik Karasi            ,2015,19.0,86
Kangoun                   ,2015,14.0,87
Karalahna                 ,2012,15.0,87
Karasakiz                 ,2012,15.0,89
Kekfrankos                ,2003,28.0,83
Kekfrankos                ,2005,20.0,81
Kekfrankos                ,2009,17.0,87
Kekfrankos                ,2011,42.75,89
Kekfrankos                ,2012,17.0,87
Kekfrankos                ,2013,21.0,88
Kerner                    ,2009,44.0,88
Kerner                    ,2010,26.0,87
Kerner                    ,2011,20.0,88
Kerner                    ,2012,22.8571428571,88
Kerner                    ,2013,22.5,90
Kerner                    ,2014,21.1111111111,88
Kerner                    ,2015,23.3333333333,91
Kinali Yapincak           ,2012,15.0,84
Kisi                      ,2014,19.2,88
Kisi                      ,2015,25.0,83
Kotsifali                 ,2014,13.0,92
Kuntra                    ,2012,15.0,86
Lagrein                   ,2000,20.0,89
Lagrein                   ,2005,29.0,86
Lagrein                   ,2006,40.0,89
Lagrein                   ,2007,28.5,87
Lagrein                   ,2008,35.5,89
Lagrein                   ,2009,25.2,87
Lagrein                   ,2010,43.25,89
Lagrein                   ,2011,41.0,88
Lagrein                   ,2012,32.4615384615,88
Lagrein                   ,2013,27.8695652174,88
Lagrein                   ,2014,43.3333333333,90
Lagrein                   ,2015,22.0,89
Lambrusco                 ,-1,13.8421052632,84
Lambrusco                 ,2006,17.0,85
Lambrusco                 ,2007,20.0,85
Lambrusco                 ,2008,18.0,84
Lambrusco                 ,2011,18.8,85
Lambrusco                 ,2012,16.1666666667,83
Lambrusco                 ,2013,14.0,85
Lambrusco                 ,2014,19.0,89
Lambrusco di Sorbara      ,-1,14.0,88
Lambrusco di Sorbara      ,2010,27.5,88
Lambrusco di Sorbara      ,2012,25.3333333333,89
Lambrusco di Sorbara      ,2013,20.8,89
Lambrusco di Sorbara      ,2015,,90
Lambrusco di Sorbara      ,2016,17.2,90
Lambrusco Grasparossa     ,-1,16.7142857143,88
Lambrusco Grasparossa     ,2012,25.0,87
Lambrusco Grasparossa     ,2013,17.8333333333,86
Lambrusco Grasparossa     ,2016,18.0,88
Lambrusco Salamino        ,-1,14.0,86
Lambrusco Salamino        ,2016,23.0,90
Lemberger                 ,-1,15.0,88
Lemberger                 ,2000,7.0,87
Lemberger                 ,2005,13.5,86
Lemberger                 ,2007,25.0,86
Lemberger                 ,2009,51.0,87
Lemberger                 ,2010,18.8571428571,86
Lemberger                 ,2011,19.0,87
Lemberger                 ,2012,21.0,88
Lemberger                 ,2013,22.0,88
Lemberger                 ,2014,20.0,89
Lemberger                 ,2015,19.0,86
Listán Negro             ,2014,20.0,86
Listán Negro             ,2015,45.0,91
Loin de l'Oeil            ,2007,30.0,91
Loin de l'Oeil            ,2008,,92
Loin de l'Oeil            ,2009,35.0,92
Loin de l'Oeil            ,2010,,92
Loin de l'Oeil            ,2011,,93
Loin de l'Oeil            ,2013,30.0,92
Loin de l'Oeil            ,2014,26.5,91
Loin de l'Oeil            ,2016,16.0,88
Loureiro                  ,2001,7.0,84
Loureiro                  ,2006,16.0,89
Loureiro                  ,2008,23.0,86
Loureiro                  ,2009,20.0,89
Loureiro                  ,2011,12.0,87
Loureiro                  ,2012,15.0,88
Loureiro                  ,2013,12.8,86
Loureiro                  ,2014,9.3333333333,86
Loureiro                  ,2015,11.6,87
Loureiro                  ,2016,11.0,87
Loureiro-Arinto           ,2016,10.0,86
Macabeo                   ,-1,13.0,84
Macabeo                   ,2007,53.0,90
Macabeo                   ,2008,37.0,93
Macabeo                   ,2009,11.0,82
Macabeo                   ,2010,9.0,85
Macabeo                   ,2011,14.6666666667,84
Macabeo                   ,2013,20.5,84
Macabeo                   ,2014,10.6,84
Macabeo                   ,2015,17.0,86
Macabeo                   ,2016,9.0,86
Macabeo-Chardonnay        ,-1,14.0,83
Macabeo-Chardonnay        ,1898,12.0,85
Macabeo-Chardonnay        ,2009,12.0,85
Macabeo-Chardonnay        ,2015,9.0,87
Macabeo-Moscatel          ,2009,8.0,85
Madeira Blend             ,-1,45.5,88
Madeleine Angevine        ,2012,17.0,86
Madeleine Angevine        ,2014,18.0,85
Magliocco                 ,2005,35.0,90
Magliocco                 ,2011,25.0,90
Magliocco                 ,2015,,88
Malagousia                ,2009,23.0,88
Malagousia                ,2012,16.0,85
Malagousia                ,2013,23.0,92
Malagousia                ,2014,24.0,88
Malagousia                ,2015,19.25,89
Malagousia                ,2016,18.0,87
Malagouzia                ,2008,22.0,89
Malagouzia                ,2010,20.0,86
Malagouzia                ,2013,19.0,89
Malagouzia-Chardonnay     ,2016,8.0,86
Malbec                    ,-1,20.0,86
Malbec                    ,1997,60.0,93
Malbec                    ,1999,15.0,85
Malbec                    ,2000,15.0,86
Malbec                    ,2001,14.6666666667,84
Malbec                    ,2002,35.0,87
Malbec                    ,2003,19.5,88
Malbec                    ,2004,44.6842105263,87
Malbec                    ,2005,23.1929824561,86
Malbec                    ,2006,28.224137931,87
Malbec                    ,2007,29.5471698113,87
Malbec                    ,2008,32.838150289,87
Malbec                    ,2009,30.8312757202,88
Malbec                    ,2010,30.19,87
Malbec                    ,2011,28.734375,87
Malbec                    ,2012,34.3721518987,88
Malbec                    ,2013,33.8192771084,88
Malbec                    ,2014,26.5857605178,88
Malbec                    ,2015,17.9821428571,86
Malbec                    ,2016,15.0,86
Malbec Blend              ,2012,,88
Malbec Blend              ,2013,95.0,89
Malbec Blend              ,2014,38.0,92
Malbec-Bonarda            ,-1,8.0,82
Malbec-Bonarda            ,2009,5.0,84
Malbec-Bonarda            ,2011,33.0,90
Malbec-Bonarda            ,2014,20.0,86
Malbec-Bonarda            ,2015,23.0,90
Malbec-Cabernet           ,2011,165.0,93
Malbec-Cabernet           ,2013,87.5,91
Malbec-Cabernet Franc     ,2008,50.0,92
Malbec-Cabernet Franc     ,2009,46.0,89
Malbec-Cabernet Franc     ,2011,20.0,85
Malbec-Cabernet Franc     ,2012,56.6666666667,89
Malbec-Cabernet Franc     ,2013,33.0,90
Malbec-Cabernet Franc     ,2014,13.0,87
Malbec-Cabernet Sauvignon ,2005,38.25,86
Malbec-Cabernet Sauvignon ,2006,68.0,91
Malbec-Cabernet Sauvignon ,2007,18.5,86
Malbec-Cabernet Sauvignon ,2008,32.5,90
Malbec-Cabernet Sauvignon ,2009,42.5714285714,88
Malbec-Cabernet Sauvignon ,2010,56.3333333333,88
Malbec-Cabernet Sauvignon ,2011,40.8333333333,89
Malbec-Cabernet Sauvignon ,2012,38.6,90
Malbec-Cabernet Sauvignon ,2013,45.8333333333,87
Malbec-Cabernet Sauvignon ,2014,37.5,90
Malbec-Cabernet Sauvignon ,2015,15.0,84
Malbec-Carménère        ,2013,43.0,91
Malbec-Merlot             ,2004,35.0,90
Malbec-Merlot             ,2005,22.0,84
Malbec-Merlot             ,2006,,88
Malbec-Merlot             ,2007,14.0,91
Malbec-Merlot             ,2008,18.0,88
Malbec-Merlot             ,2009,21.25,89
Malbec-Merlot             ,2010,20.4285714286,88
Malbec-Merlot             ,2011,15.6153846154,87
Malbec-Merlot             ,2012,20.25,88
Malbec-Merlot             ,2013,20.9,87
Malbec-Merlot             ,2014,21.3684210526,88
Malbec-Merlot             ,2015,18.2,88
Malbec-Merlot             ,2016,16.0,88
Malbec-Petit Verdot       ,-1,30.0,91
Malbec-Petit Verdot       ,2013,49.0,91
Malbec-Syrah              ,2007,31.6,85
Malbec-Syrah              ,2009,11.25,85
Malbec-Syrah              ,2010,10.25,85
Malbec-Syrah              ,2011,18.0,88
Malbec-Syrah              ,2012,,87
Malbec-Syrah              ,2013,11.5,84
