,country,points,price,title,winery
78902,Luxembourg,90,22.0,Domaines Vinsmoselle 2014 Bech-Kleinmacher Naumberg Grand Premier Cru Auxerrois (Moselle Luxembourgeoise),Domaines Vinsmoselle
3576,Luxembourg,89,16.0,Domaines Vinsmoselle NV Pinot Luxembourg White (Moselle Luxembourgeoise),Domaines Vinsmoselle
113460,Luxembourg,89,26.0,Poll-Fabaire NV Cuvée Brut Crémant de Luxembourg Sparkling (Moselle Luxembourgeoise),Poll-Fabaire
46038,Luxembourg,88,23.0,Domaines Vinsmoselle 2015 Wormeldange Weinbour Grand Premier Cru Riesling (Moselle Luxembourgeoise),Domaines Vinsmoselle
48430,Luxembourg,88,23.0,Domaines Vinsmoselle 2015 Wormeldange Weinbour Grand Premier Cru Riesling (Moselle Luxembourgeoise),Domaines Vinsmoselle
48450,Luxembourg,88,30.0,Poll-Fabaire NV Poll on Ice Crémant de Luxembourg Demi-Sec Sparkling (Moselle Luxembourgeoise),Poll-Fabaire
